Record number,Call number,Title,Published,Description,Note,Summary,Subject - Person,Subject - Topical,Series,Link
.b31086445,1364B/13,In loving memory of Sergeant William Bridge,1918,1 photomechanic print :,,"Sergeant William Bridge, No. 1791 44th Battalion enlisted 9 February 1916. Killed in action 5 April 1918.","Bridge, William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108644_1
.b31086469,1364B/14,In loving memory of Lieutenant Charles Dane Brown,1917,1 photomechanic print :,,"Lieut. Charles Brown 16th Battalion, 17th Reinforcements. Enlisted August 1915, Killed in action at Polygon Wood, Belgium, 26 September 1917 aged 27 years.","Brown, Charles Dane,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108646_1
.b31086494,1364B/15,In loving memory of Private Edward Francis [ie Huxley] Brown,1917,1 photomechanic print :,"Note official records give this man's name as Edward Huxley Brown, his father was Edward Francis Brown.","Private Edward Brown No. 3731, 51st Battion (late 11th Battalion) enlisted in Westonia August 1915. Son of Edward Francis Brown. Killed in action 10 June 1917.","Brown, Edward Huxley,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108649_1
.b31086524,1364B/16,In loving memory of Private William Thomas Browne,1919,1 photomechanic print :,,"Private William Thomas Browne No. 2885, 48th Battalion enlisted 11 September 1916. Died of Spanish influenza 15 February 1919 at the 48th Casualty Clearing Station, France.","Browne Wiliam Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108652_1
.b31086548,1364B/17,In loving memory of Private Andrew Roy [ie Roy Andrew] Bruce,1917,1 photomechanic print :,Pte Bruce's enlistment papers signed by himself shows his name to be Roy Andrew and not Andrew Roy as on this card. Official army records have this man named Roy Andrew Bruce.,"Private Roy Andrew Bruce No. 1273, 28th Battalion enlisted at Kalgoorlie January 1916. Died from gas poisoning 30 October 1917.","Bruce, Roy Andrew,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108654_1
.b3108655x,1364B/18,In loving memory of Private William Arthur [ie Martin] Bucci,1916,1 photomechanic print :,Pte Bucci signs himself as William Martin Bucci in his enlistment papers (National Archives).,"Private William Bucci No. 4453, 11th Battalion. Killed in action at Pozieres 25 July 1916.","Bucci, William Martin,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108655_1
.b31086561,1364B/19,Sapper Orpheus Buck,1919,1 photomechanic print :,,"Sapper Orpheus Buck No. 4287, No. 4 Tunnelling Co. Enlisted at Boulder 20 February 1916. Returned to Australia 1 June 1919.","Buck, Orpheus,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108656_1
.b31086585,1364B/20,In loving memory of Gunner James Bushby,1917,1 photomechanic print :,,Gunner James Bushby No. 898 32nd Battalion. Killed in action 12 August 1917.,"Bushby, James,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108658_1
.b31086597,1364B/21,In loving memory of Private William Robert Byers,1917,1 photomechanic print :,,"Pvt. William Byers No. 1627, A. Coy, 44th Battalion. Died of wounds 23 January 1917.","Byers, William Robert,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108659_1
.b31086603,1364B/22,In loving memory of Lance Corporal Oliver Harry Cadwallader,1918,1 photomechanic print :,,"L. Cpl. Oliver Cadwallader No. 6463, 11th Battalion, 21st Reinforcements. Killed in action 22 April 1918.","Cadwallader, Oliver Harry,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108660_1
.b31086640,1364B/23,In loving memory of Corporal Arthur Capps,1915,1 photomechanic print :,,"Cpl. Arthur Capps No. 144, 16th Battalion. Killed at Gallipoli 2 May 1915.","Capps, Arthur,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108664_1
.b31086676,1364B/25,In loving memory of Sapper Albert Edward Clarke,1915,1 photomechanic print :,"A.E. Clarke is on the Australian Roll of Honour as Clark, Albert Edward.","Sapper Clarke No. 4219, 15th A.S.C.. Enlisted in Sydney, his parents live in Kalgoorlie. Killed at Gallipoli 29 November 1915.","Clarke, Albert Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108667_1
.b31086706,1364B/26,In loving memory of Gunner John Clayton,1917,1 photomechanic print :,,Gunner Clayton of 3rd Division Artillery No. 2116. Died of wounds at Messines 13 July 1917.,"Clayton, John,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108670_1
.b31086718,1364B/27,In loving memory of Corporal Hubert Clement Clues,1917,1 photomechanic print :,,"Corporal Hubert Clues No. 652, 16th Battalion. Killed in action 11 April 1917 at Bullecourt, France.","Clues, Hubert Clement,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108671_1
.b3108672x,1364B/29,In loving memory of Private Ernest John Coles,1917,1 photomechanic print :,,"Pte Ernest Coles No. 1805, 44th Battalion, 2nd Reinforcements. Killed in action at Messines 7 June 1917.","Coles, Ernest John,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108672_1
.b31086731,1364B/28,In loving memory of Corporal Frederick James Cocks,1918,1 photomechanic print :,,"Cpl. Frederick Cocks, No. 918 Railway Corps. Crushed to death in a collison between two trains in France 4 December 1918.","Cocks, Frederick James,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108673_1
.b31086743,1364B/30,In loving memory of Staff Sergeant Arthur Coolaham [ie Coolahan],1917,1 photomechanical print :,His original enlistment papers spell his name and he signed Coolahan.,"S./Sgt. Arthur Coolahan, No. 606, 28th Battalion. Died from poison gas 9 November 1917.","Coolahan, Arthur,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108674_1
.b31086755,1364B/31,"In loving memory of Lance Corporal J. Cooper, D.C.M.",1918,1 photomechanical print :,,"L./Cpl. J. Cooper No. 2484, 51st Battalion. Awarded Distinguished Conduct Medal 19 November 1917. Killed in action 25 April 1918.","Cooper, John,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108675_1
.b31086779,1364B/33,In loving memory of Lance Corporal Wilfred Lawson Coulter and his brother Leslie Trenear Coulter,1917,1 photomechanical print :,,"L./Cpl. Wilfred Lawson Coulter, No. 2464, 16th Battalion enlisted in Kalgoorlie 19 May 1915, fought at Gallipoli, killed in action at Bullecourt 11 April 1917.;Signaller Leslie Trenear Coulter No. 821 , 28th Battalion. Enlisted in Kalgoorlie, fought at Gallipoli and killed in action in France 4 August 1916.","Coulter, Leslie Trenear,;Coulter, Wilfred Lawson,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108677_1
.b31086792,1364B/34,In loving memory of Corporal George Prior Crabb,1916,1 photomechanical print :,Enlistment papers name him as George Crabb.,"Corporal George Crabb No. 1118, 28th Battalion. Killed in action 5 November 1916.","Crabb, George Prior,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108679_1
.b31086810,1364B/35,In loving memory of Pte. Peter Cullen,1916,1 photomechanical print :,,"Private Peter Cullen No. 4471, 11th Battalion, 14th Reinforcements. Enlisted in Kalgoorlie October 1915, Killed in action at Pozieres 22 August 1916.","Cullen, Peter,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108681_1
.b31086846,1364B/36,In loving memory of Private John Curtis,1917,1 photomechanical print :,,"Private John Curtis, No. 4401, 28th Battalion, 11th Reinforcements. Enlisted in Beverley, killed in action 1 November 1917 leaving a wife and six children.","Curtis, John,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108684_1
.b3108686x,1364B/37,"In loving memory of Cpl. Frederick William Davies, D.C.M.",1918,1 photomechanical print :,,"Corporal Frederick Davies No. 1638, 44th Battalion. Awarded the Distinguished Conduct Medal in France. Died from wounds 5 September 1918, buried at Stratford-On-Avon, England.","Davies, Frederick William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108686_1
.b31086871,1364B/38,In loving memory of Private John Edward Davis,1916,1 photomechanical print :,,"Private John Davis, No. 3771, 11th Battalion, 3rd Brigade, 1st Division, 12th Reinforcements. Killed in action 27 June 1916.","Davis, John Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108687_1
.b31087462,1364B/39,In loving memory of Cyril Augustus Demasson,1918,1 photomechanical print :,,"Cyril Demasson No. 4721, 28th Battalion, 12th Reinforcements. Died of wounds 24 May 1918.","Demasson, Cyril Augustus,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108746_1
.b31087474,1364B/40,In loving memory of Private George Edward [ie Hereward] Dench,1916,1 photomechanical print :,Private Dench's middle name is officially Hereward in army records. (See enlistment papers online at National Archives of Australia),"Pvt. George Dench No. 2367, 28th Battalion, 5th Reinforcements. Killed in action at Pozieres 29 July 1916.","Dench, George Hereward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108747_1
.b31087486,1364B/41,In loving memory of Private Robert Devon,1917,1 photomechanical print :,,"Pvt. Robert Devon No. 2648, 48th Battalion. Killed in action at Paschendale 9 August 1917 aged 39 years. He was a veteran of the Boer War.","Devon, Robert,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108748_1
.b31087498,1364B/42,In loving memory of Private Cecil Alfred Drock,1917,1 photomechanical print :,,"Pvt. Drock no. 57, 28th Battalion. Died of wounds 23 September 1917.","Drock, Cecil Alfred,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108749_1
.b31087504,1364B/43,In loving memory of Pte Arthur Robinson Eastbourne [ie Eastburn] M.M.,1918,1 photomechanical print :,This soldier's surname is in fact Eastburn (see his enlistment papers online at National Archives of Australia),"Pvt. Arthur Eastburn No. 3892, 16th Battalion. Awarded the Military Medal. Killed in action 24 June 1918.","Eastburn, Arthur Robinson,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108750_1
.b31087516,1364B/44,In loving memory of Joseph Henry Elliott,1917,1 photomechanical print :,,"Pvt. Joseph Elliott. No. 6311, 28th Battalion. Killed in action 2 November 1917.","Elliott, Joseph Henry,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108751_1
.b31087528,1364B/45,In loving memory of Corporal Charles Oakley Erwood M.M. and Corpl. Robert H. Erwood (Bob),1918,1 photomechanical print :,,"Corporal Charles Oakley Erwood No. 3131, 11th Battalion, 6th Reinforcements. Awarded the Military Medal, Died of wounds 11 August 1918. His brother Bob (Robert Henry Erwood) No. 2049, 6th Battalion, killed in action 21 August 1916.","Erwood, Robert Henry,;Erwood, Charles Oakley,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108752_1
.b3108753x,1364B/46,In loving memory of Pte. William John Fagg,1918,1 photomechanical print :,,"Private William Fagg No. 2365, 57th Battalion. Died of wounds 26th April 1918.","Fagg, William John,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108753_1
.b31087541,1364B/47,In loving memory of Pte. Richard Frank Funnell,1917,1 photomechanical print :,,"Private Richard Funnell, No.2875, 10th Light Horse. Died in Palestine after being kicked by a horse  26 August 1917.","Funnell, Richard Frank,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108754_1
.b31087553,1364B/48,In loving memory of Pte. Frederick Ralph George,1917,1 photomechanical print :,,"Private Frederick George, No. 5860, 28th Battalion. Killed in action 4 October 1917.","George, Frederick Ralph,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108755_1
.b31087577,1364B/49,In loving memory of Private Julius Thomas Gibbs,1918,1 photomechanical print :,,"Private Julius Thomas Gibbs, No. 3384, 51st Battalion. Killed in action 25 April 1918.","Gibbs, Julius Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108757_1
.b31087589,1364B/50,In loving memory of Pte. Horace William Gibson,1918,1 photomechanical print :,,"Private Horace Gibson, No. 6822, 16th Battalion, C. Coy. Killed in action 4 July 1918.","Gibson, Horace William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108758_1
.b31087590,1364B/51,In loving memory of Private Thomas Glasson,1917,1 photomechanical print :,,"Private Thomas Glasson, No. 5722, 16th Battalion. Killed in action 11 April 1917.","Glasson, Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108759_1
.b31087607,1364B/52,In loving memory of Lance-Cpl. John Joseph Gray,1917,1 photomechanical print :,,"Lance Corporal John Gray, No. 3113, 28th Battalion. Killed in action 4 October 1917.","Gray, John Joseph,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108760_1
.b31087619,1364B/53,In loving memory of Private Walter Charles Grist,1917,1 photomechanical print :,,"Private Walter Grist, No. 3381, 28th Battalion. Died of wounds 20 September 1917.","Grist, Walter Charles,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108761_1
.b31087620,1364B/54,In loving memory of Private Frederick Samuel Gunst,1917,1 photomechanical print :,,"Private Frederick Gunst, No. 5106, 16th Battalion, 16th Reinforcements. Killed in action 11 April 1917.","Gunst, Frederick Samuel,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108762_1
.b31087632,1364B/55,In loving memory of Private Sydney Alfred Hall,1918,1 photomechanical print :,,"Private Sydney Hall, No. 1926, 51st Battalion. Died of wounds 13 April 1918 after his return to Australia and was given a military funeral at Fremantle Cemetery.","Hall, Sydney Alfred,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108763_1
.b31087644,1364B/56,In loving memory of Private George James Halliday,1916,1 photomechanical print :,,"Private George Halliday, No. 2607, 51st Battalion. Killed in action 3 September 1916.","Halliday, George James,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108764_1
.b31087656,1364B/59,In loving memory of Private Francis George Henderson,1916,1 photomechanical print :,,"Private Francis George Henderson, No.4440, 28th Battalion. Killed in action 5 November 1916.","Henderson, Francis George,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108765_1
.b31087668,1364B/57,In loving memory of Pte. John Molloy Harkins,1918,1 photomechanical print :,,"Private John Malloy Harkins, No.10886. Killed in action 10 August 1918.","Harkins, John Malloy,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108766_1
.b31087681,1364B/58,In loving memory of Pte. Edward Thomas Henderson,1917,1 photomechanical print :,,"Private Edward Henderson, No. 534, 28th Battalion. Killed in action 31 October 1917.","Henderson, Edward Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108768_1
.b31087693,1364B/60,In loving memory of Pte. George John Henry,1918,1 photomechanical print :,,"Private George Henry, No. 2580, 44th Battalion, 5th Reinforcements. Killed in action 28 March 1918.","Henry, George John,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108769_1
.b3108770x,1364B/61,In loving memory of Pte. Richard Herron,1916,1 photomechanical print :,,"Private Richard Herron, No. 1548, 28th Battalion. Killed in action 29 July 1916.","Herron, Richard,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108770_1
.b31087711,1364B/62,In loving memory of Private Arthur Albert House,1917,1 photomechanical print :,,"Private Arthur House, No. 2339, 43rd Battalion, 4th Reinforcements. Killed in action 31 July 1917.","House, Arthur Albert,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108771_1
.b31087723,1364B/63,In loving memory of Private Reuben William House,1918,1 photomechanical print :,,"Private Reuben House, No. 3774, 51st Battalion, 10th Reinforcement. Killed in action 24 April 1918.","House, Reuben William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108772_1
.b31087735,1364B/64,In loving memory of Private Sydney Reginald Hughes,1918,1 photomechanical print :,,"Private Sydney Hughes, No. 2926, 51st Battalion, 7th Reinforcements. Died of wounds 9 October 1918.","Hughes, Sydney Reginald,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108773_1
.b31087760,1364B/65,In loving memory of Private Thomas Hughes,1917,1 photomechanical print :,,"Private Thomas Hughes, No. 2668, 38th Battalion, 6th Reinforcements O.F. Killed in action 14 October 1917.","Hughes, Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108776_1
.b31087772,1364B/66,In loving memory of Private Cecil Edward Humphry,1916,1 photomechanical print :,,"Private Cecil Humphry, No. 1657, 44th Battalion. Died of disease 5 December 1916.","Humphry, Cecil Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108777_1
.b31087784,1364B/67,In loving memory of Private E. W. T. Humphry,1917,1 photomechanical print :,,"Private Edgar William Thomas Humphry No. 3389, 51st Battalion. Died of wounds 30 September 1917.","Humphry, Edgar William Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108778_1
