Record number,Call number,Title,Published,Description,Note,Summary,Reproduction note,biographical or historical note,Ownership and custodial history,Subject - name,Subject - topical ,Link
.b18002833,BA1011/581,Portrait of F. Gill,1914-1918.,1 photonegative :,,The portrait of F. Gill is half length.  He has badges on his collar.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 212 (S).,"Gill, F.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,581PD.jpg"
.b18002845,BA1011/580,Portrait of Phillip,1914-1918.,1 photonegative :,,"Phillip is a member of the 10th Australian Light Horse and is standing wearing a slouch hat with plumes, leggings, and spurs, and holding a riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: Soldiers 212 (S).,Phillip,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,580PD.jpg"
.b18021335,BA1011/223,Portrait of A.L. Mitchell,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"A.L. Mitchell is a bugler. He is standing, wearing puttees and AIF badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Mitchell, A. L.",Bugles;Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,223PD.jpg"
.b18021517,BA1011/224,Portrait of J.R. Moore,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Corporal J.R. Moore is seated, wearing leather leggings, spurs, Australian Service Corp badges and a Field Service cap.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Moore, J. R.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,224PD.jpg"
.b18021530,BA1011/225,Portrait of Private Mackay,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Mackay is seated wearing Australian Infantry badges, leather leggings, spurs and holding a riding crop. ","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Mackay,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,225PD.jpg"
.b18021700,BA1011/227,Portrait of J. McGinnes,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private J. McGinnes is seated, wearing puttees and carrying a stick.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"McGinnes, J.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,227PD.jpg"
.b18021748,BA1011/228,Portrait of Corporal McLaughlan,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Corporal McLaughlan is seated, wearing puttees and carrying a cane. He is wearing a field service cap and displays Australian Infantry force badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"McLaughlan,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,228PD.jpg"
.b18021797,BA1011/229,Portrait of Private McDowell,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"McDowell is seated and belongs to the Medical Corps. He is wearing a Field Service cap, Australian Infantry Force badges and leather leggings.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"McDowell,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,229PD.jpg"
.b18021840,BA1011/230,Portrait of Private McDowell,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"McDowell is seated and belongs to the Medical Corps. He is carrying a Field Service cap, and wearing Australian Infantry Force badges and leather leggings.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"McDowell,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,230PD.jpg"
.b18021931,BA1011/231,"Portrait of three soldiers, one of whom is J. McAulay",1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait shows three soldiers, two standing and one seated. All are wearing leggings and spurs. One is wearing a slouch hat and the others field service caps. One is from the Australian Light Horse and one is named as J. McAulay.;Adopted by Doreen Kennewell.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"McAulay, J.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,231PD.jpg"
.b18021980,BA1011/234,Portrait of Private McAulay,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private McAulay, standing wearing riding breeches, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"McAulay,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,234PD.jpg"
.b18022017,BA1011/233,Portrait of Corporal McLachlan,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Corporal McLachlan is standing, wearing riding breeches, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"McLachlan,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,233PD.jpg"
.b18022121,BA1011/232,Portrait of Private W.A. McAllan,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private McAllan is seated, wearing puttees and Australian Infantry Force badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"McAllan, W. A.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,232PD.jpg"
.b18022133,BA1011/226,Portrait of D. McKinnon,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.;2 images on the one plate.,"Head and shoulders view of D. McKinnon, wearing a field service cap with badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"McKinnon, D.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,226PD.jpg"
.b18074066,BA1011/248,Portrait of Sergeant Major Fitzgerald,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Fitzgerald is seated, wearing trousers, boots, Sam Browne belt and a Field Service cap with AIF badges, and holding a cane. His rank shows as four stripes and a crown.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Fitzgerald,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,248PD.jpg"
.b18078783,BA1011/249,Portrait of Private Harold Lascelles Farrant,1915,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Farrant, of the 10th Australian Light Horse, is seated, wearing a slouch hat with plumes, leggings, spurs,and holding a riding crop. Enlisted 8 July 1915.;Adopted by Mrs Hillary Collins.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Farrant, Harold Lascelles",Soldiers;Military uniforms;Horsemen and horsewomen;Spurs;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,249PD.jpg"
.b18078862,BA1011/251,"Portrait of three soldiers, one of whom is R.J. Fraser",1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait shows three soldiers, two standing and one seated. All are wearing Field Service caps and badges, and puttees. One is identified as R.J. Fraser.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Fraser, R. J.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,251PD.jpg"
.b1807893x,BA1011/250,Portrait of N.A. Fisher,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"N.A. Fisher is standing, wearing a Field Service caps and badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Fisher, N. A.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,250PD.jpg"
.b18080388,BA1011/462,Portrait of A. Shaw,1914-1918.,1 photonegative :,,"A. Shaw is standing, wearing a Field Service cap and badges, lanyard and leggings and holding a riding crop.;Adopted by L.M.& C.E.Cornish.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Shaw, A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,462PD.jpg"
.b18080406,BA1011/458,Portrait of S. Steere,1914-1918.,1 photonegative :,,"S. Steere is seated, wearing badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Steere, S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,458PD.jpg"
.b18080431,BA1011/459,Portrait of J.G. Smith,1914-1918.,1 photonegative :,,"J.G. Smith is standing, wearing a Field Service cap and badges, lanyard and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Smith, J. G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,459PD.jpg"
.b18080649,BA1011/460,Portrait of S.B. Stansfield,1914-1918.,1 photonegative :,,"S.B. Stansfield, of the 10th Australian Light Horse, is seated, wearing a slouch hat with plumes, bandolier, belt and pouch, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Stansfield, S. B.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,460PD.jpg"
.b18080674,BA1011/252,Portrait of Trooper W.C. Fuller,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Trooper W.C. Fuller, of the 10th Australian Light Horse, is seated wearing a slouch hat with plumes, bandolier, leggings and spurs.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Fuller, W. C.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,252PD.jpg"
.b18080698,BA1011/461,Portrait of S. Stevens,1914-1918.,1 photonegative :,,"S. Stevens is seated, wearing a Field Service cap and badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Stevens, S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,461PD.jpg"
.b1808073x,BA1011/253,Portrait of Sergeant C.F. Fuhrman,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Sergeant C.F. Fuhrman, of the 10th Australian Ligth Horse, is standing, wearing a slouch hat with plumes, leather belt, leggings and spurs, and holding a riding crop.;Adopted by Greenwood SHS.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Fuhrman, Charles Franklyn,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,253PD.jpg"
.b18080753,BA1011/254,Portrait of Sergeant Charles Franklyn Fuhrmann,1915,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Sergeant C.F. Fuhrmann, of the 10th Australian Light Horse, is seated wearing a slouch hat with plumes, leather belt, leggings and spurs, and holding a riding crop. Died 13 Aug. 1918.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Fuhrmann, Charles Franklyn,",Soldiers;Military uniforms;Portraits;Horsemen and horsewomen;Spurs;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,254PD.jpg"
.b18080820,BA1011/457,Portrait of J.G. Smith,1914-1918.,1 photonegative :,,"J.G. Smith is sitting, wearing a Field Service cap and badges, ribbon in right shoulder, lanyard and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Smith, J. G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,457PD.jpg"
.b18080911,BA1011/463,Portrait of R.B. Smart,1914-1918.,1 photonegative :,,"R.B. Smart is seated, wearing a slouch hat, badges and leggings.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Smart, R. B.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,463PD.jpg"
.b18080959,BA1011/255,"Portrait of four soldiers, three Privates and one Sergeant, one soldier is Fogarty",1915,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait shows four soldiers, two standing and two seated. All are wearing slouch hats and puttees. Photograph dated 30 October 1915.;Adopted by Mr and Mrs J Earnshaw.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,Fogarty (Australian soldier),Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,255PD.jpg"
.b18080996,BA1011/464,Portrait of J.P.H.J. Stevens,1914-1918.,1 photonegative :,,"J.P.H.J. Stevens is seated, wearing slouch hat and badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Stevens, J. P. H. J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,464PD.jpg"
.b18081071,BA1011/256,Portrait of T.S. Ford,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"T.S. Ford is seated, wearing a Field Service cap, riding breeches and leggings.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Ford, T. S.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,256PD.jpg"
.b18081095,BA1011/465,Portrait of J. Scott,1914-1918.,1 photonegative :,Two images on one plate.,Head and shoulders portrait of J. Scott is wearing a neckerchief and badges.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Scott, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,465PD.jpg"
.b18081137,BA1011/257,Portrait of V. Firth,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"V. Firth is seated, wearing badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Firth, V.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,257PD.jpg"
.b18081149,BA1011/466,Portrait of J. Scott,1914-1918.,1 photonegative :,,"J. Scott is standing, wearing a Field Service cap, neckerchief, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Scott, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,466PD.jpg"
.b18081186,BA1011/467,Portrait of V. Sparrow,1914-1918.,1 photonegative :,,"V. Sparrow is standing, wearing a Field Service cap, badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Sparrow, Valentine Christopher",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,467PD.jpg"
.b18081228,BA1011/470,Portrait of V. Sparrow,1914-1918.,1 photonegative :,,"V. Sparrow is sitting, wearing a Field Service cap and badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Sparrow, Valentine Christopher",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,470PD.jpg"
.b1808123x,BA1011/258,Portrait of Sergeant Major Fitzgerald,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Company Sergeant Major Fitzgerald is standing, wearing trousers, boots, Sam Browne belt and cane and a Field Service cap with AIF badges. His rank shows as four stripes and a crown.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Fitzgerald,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,258PD.jpg"
.b18081289,BA1011/468,Portrait of Alexander William Sinclair,1914-1918.,1 photonegative :,"For positive identification see Western Mail 22 June 17, p.19.","Waist length portrait of A.W. Sinclair, wearing a Field Service cap badges, with 21st Australian Service Corps on epaulette.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Sinclair, Alexander William",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,468PD.jpg"
.b18081290,BA1011/259,Portrait of V. Firth,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"V. Firth is standing, wearing Field Service cap, badges and puttees, and carrying a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Firth, V.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,259PD.jpg"
.b18081320,BA1011/469,Portrait of Sergeant James William Seddon,1914-1918.,1 photonegative :,,"Head and shoulders portrait of J.W. Seddon, a medical officer.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Seddon, James William",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,469PD.jpg"
.b1808140x,BA1011/260,"Portrait of three soldiers, one of whom is Sergeant Farrell, 28th Battalion",1914-1918.,1 photonegative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Portrait shows three soldiers, two Sergeants seated, and one soldier standing. Two are wearing leggings and one puttees and all are wearing Field Service caps and badges. The Sergeants are in the Medical Corps.;Adopted by Riverside Primary School.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Farrell,",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,260PD.jpg"
.b18081563,BA1011/471,"Portrait of three soldiers, one of whom is B. Shepherd",1914-1918.,1 photonegative :,,"Portrait shows 3 men, one standing and two seated. Two are wearing Field Service caps, and one a slouch hat. And all are wearing puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 58 (S).,"Shepherd, B.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,471PD.jpg"
