PID,Title of image,Temporal,Creator,Image caption,Full name and service number (from National Archives of Australia),Full name from embarkation roll (from Australian War Memorial) 2,NAA identifier,Embarkation ship (from Australian War Memorial) 2,Date of embarkation (from Australian War Memorial) 2,Provenance,Image number,Copyright statement,Conditions of use,Source,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Link to permananent portrait image
1377775,Portrait of Lieutenant D.G. Irvine,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Son of Mr. S.O. Irvine, Club Member, C.T.A. of Qld.",Lieutenant Duncan Godwin Irvine. Machine Gun Corps UK Archives Reference WO 339/1075. Enlisted with the British forces in Ireland in 1914.,n/a,n/a,n/a,n/a,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0007,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465003
1377779,Portrait of Trooper L. Lawrence,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): No. 2 Australian Imperial Remount Unit. Sons of Mr. N. Lawrence, Club Member, C.T.A. of Queensland.","Leonard Lawrence, Service Number - 1893",Leonard Lawrence,NAA person ID: 241148,RMS Orontes,10/11/1915,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0008,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465054
1377783,Portrait of Corporal E.J. Lawrence,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 2nd Reinforcements, 20th Battalion, 5th Brigade. Wounded. Sons of Mr. N. Lawrence, Club Member, C.T.A. of Queensland.","Eric James Lawrence, Service Number - 305",Eric James Lawrence,NAA person ID: 868334,n/a,n/a,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0009,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465055
1377787,Portrait of Lieutenant A.B. Steele,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 2nd Light Horse. Sons of Mr. T.B. Steele, Club Member, C.T.A. of Queensland.","Arthur Beevor Steele, Service Number - Major",Arthur Beever Steele,NAA person ID: 322309,HMAT Star of England A15,24/09/1914,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0010,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465056
1377791,Portrait of Sergeant T.N.B. Steele,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 11th Light Horse. Sons of Mr. T.B. Steele, Club Member, C.T.A. of Queensland.","Thomas Nelson William Beevor Steele, Service Number - Captain/74",Thomas Nelson William Beaver Steele,NAA person ID: 322326,HMAT Medic A7,2/06/1915,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0011,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465057
1377795,Portrait of Captain Chas. E. Wassell,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 1st Field Ambulance. Son of Mr. J.W. Wassell, Club Member, C.T.A. of Qld.","Charles Ernest Wassell, Service Number - Lieutenant Colonel",Charles Edward Wassell,NAA person ID: 352628,HMAT Euripides A14,20/10/1914,"Photograph appears on page 25 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0025-0012,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465058
1377799,Portrait of A.T. Farr,1914-1920,Unidentified,Caption (from 'The Australasian Traveller'): Members of the C.T.A. of Queensland on Active Service.,"Arthur Thomas Farr, Service Number - 3299",Arthur Thomas Farr,NAA person ID: 163433,HMAT Seang Bee A48,21/10/1915,"Photograph appears on page 41 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0041-0001,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465060
1377803,Portrait of R.S. Pappril,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Army Service Corps, 8th Division, England. Members of the C.T.A. of Queensland on Active Service.","Rudolph Silas Papprill, Service Number - 1646",Rudolph Silas Pappriel,NAA person ID: 270993,HMAT Ceramic A40,22/12/1914,"Photograph appears on page 41 of 'The Australasian Traveller', Vol. 11, No. 10, 4 December 1915",Image number: 684723-v011n010-s0041-0002,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 4 December 1915",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465061
1377807,Portrait of J.P. Stokes Sealy,1914-1920,Unidentified,Caption (from 'The Australasian Traveller'): Full Members of the Affiliated Commercial Travellers' Associations of Australasia who have recently enlisted. (C.T.A. of Queensland),"John Phillip Stokes Sealy, Service Number - 1654",John Phillip Stokes Sealy,NAA person ID: 308893,HMAT Suffolk A23,30/11/1915,"Photograph appears on page 1 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0001-0001,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465062
1377811,Portrait of S.M. Charles,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 5th L. H. Regiment. Son of Mr. W.M. Charles (Club Member, C.T.A. of Queensland).","Samuel McKay Charles, Service Number - 1859",Samuel Mackay Charles,NAA person ID: 117723,HMAT Kyarra A55,3/01/1916,"Photograph appears on page 3 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0003-0001,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465063
1377815,Portrait of Sergeant C.C. Dixon,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 5th Regiment, 2nd L.H. Brigade. Son of Mr. L.C. Dixon (C.T.A. of Queensland).","Charles Chisholm Dixon, Service Number - 1532",Charles Chisholm Dixon,NAA person ID: 148454,HMAT Suffolk A23,30/11/1915,"Photograph appears on page 3 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0003-0002,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465064
1377819,Portrait of A.E. Bourne,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Son of Mr. J.O. Bourne, Club Member (C.T.A. of Queensland).","Alfred Edward Bourne, Service Number - 2150",Alfred Edward Bourne,NAA person ID: 95520,HMAT Orsova A67,11/03/1916,"Photograph appears on page 59 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0059-0001,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465065
1377823,Portrait of Lieutenant C.J. Carroll,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 9th Battalion. Sons of Inspector Carroll, Club Member, (C.T.A. of Queensland).","Cecil James Carroll, Service Number - Captain",Cecil James Carroll,NAA person ID: 113551,HMAT Ayrshire A33,1/09/1915,"Photograph appears on page 59 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0059-0002,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465066
1377827,Portrait of W.J.V. Carroll,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 5th Light Horse. Sons of Inspector Carroll, Club Member, (C.T.A. of Queensland).",n/a,n/a,n/a,n/a,n/a,"Photograph appears on page 59 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0059-0003,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465067
1377831,Portrait of Corporal J.G. Earwaker,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 5th Reinforcements, 25th Battalion. Son of Mr. J. E. Earwaker, Club Member (C.T.A. of Queensland).","John George Earwaker, Service Number - Lieutenant/2387A",John George Earwaker,NAA person ID: 157418,HMAT Warilda A69,5/10/1915,"Photograph appears on page 59 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0059-0004,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465068
1377835,Portrait of F.B. Rutledge,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Sons of Mr. F.H. Rutledge, Club Member (C.T.A. of Queensland).","Francis Brian Rutledge, Service Number - 1344",Francis Brian Rutledge,NAA person ID: 306627,HMAT Warilda A69,5/10/1915,"Photograph appears on page 59 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0059-0005,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465069
1377839,Portrait of H.L. Rutledge,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Sons of Mr. F.H. Rutledge, Club Member (C.T.A. of Queensland).","Henry Lawrence Rutledge, Service Number - 1343",Henry Lawrence Rutledge,NAA person ID: 306629,HMAT Warilda A69,5/10/1915,"Photograph appears on page 59 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0059-0006,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465070
1377843,Portrait of T.R. Rutledge,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): Sons of Mr. F.H. Rutledge, Club Member (C.T.A. of Queensland).","Thomas Richard Rutledge, Service Number - 1345",Thomas Richard Rutledge,NAA person ID: 306643,HMAT Warilda A69,5/10/1915,"Photograph appears on page 59 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0059-0007,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465071
1377847,Portrait of 2nd Lieutenant R.J. Thomson,1914-1920,Unidentified,Caption (from 'The Australasian Traveller'): 5th Worcester Regiment. Club Member (C.T.A. of Queensland).,n/a,n/a,n/a,n/a,n/a,"Photograph appears on page 59 of 'The Australasian Traveller', Vol. 11, No. 11, 6 January 1916",Image number: 684723-v011n011-s0059-0008,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 6 January 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465072
1377851,Portrait of Sergeant A.J. Gledhill,1914-1920,Unidentified,Caption (from 'The Australasian Traveller'): Who enlisted in Queensland. Son of Mr. R.R. Gledhill (C.T.A. of Victoria).,"Archibald John Gledhill, Service Number - Captain",Archibald John Gledhill,NAA person ID: 204690,SS Hawkes Bay,20/04/1916,"Photograph appears on page 3 of 'The Australasian Traveller', Vol. 11, No. 12, 5 February 1916",Image number: 684723-v011n012-s0003-0001,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 5 February 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465073
1377855,Portrait of Sergeant F.C. Harley,1914-1920,Unidentified,"Caption (from 'The Australasian Traveller'): 2nd L.H.,12th Reinforcements. Son of Mr. C.H. Harley (Club Member, C.T.A. of Queensland).","Frederick Charles Harley, Service Number - 1534",Frederick Charles Harley,NAA person ID: 202124,HMAT Suffolk A23,30/11/1915,"Photograph appears on page 3 of 'The Australasian Traveller', Vol. 11, No. 12, 5 February 1916",Image number: 684723-v011n012-s0003-0002,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 5 February 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465074
1377859,Portrait of S.H. Johnson,1914-1920,Unidentified,Caption (from 'The Australasian Traveller'): Somewhere at sea on one of the ships of the Australian Fleet. Son of Mr. M. Johnson (C.T.A. of Queesnland).,n/a,n/a,n/a,n/a,n/a,"Photograph appears on page 3 of 'The Australasian Traveller', Vol. 11, No. 12, 5 February 1916",Image number: 684723-v011n012-s0003-0003,Out of copyright. For further information http://www.slq.qld.gov.au/home/copyright,You are free to use this image without permission. Please attribute State Library of Queensland,"Digitised from 'The Australasian Traveller', 5 February 1916",Australia. Army. Australian Imperial Force (1914-1921),United Commercial Travellers' Association of Australasia,Soldiers--Queensland--Portraits,"World War, 1914-1918--Queensland",Traveling sales personnel--Queensland--Portraits,http://hdl.handle.net/10462/deriv/465075
