Bibliographic record number,Collection number,Creator,Title,Date of creation,Description,Notes,Summary,Subject: Personal,Subject: Topical,Subject: Geographical,Captions for URLs,URLs
b16622406,,,Blackboy Camp souvenir /,1915],16 p. :,At head of title : We have heard the call!.,,,Military training camps,Blackboy Hill (W.A.),Black boy camp souvenir,http://purl.slwa.wa.gov.au/slwa_b1662240_1;http://purl.slwa.wa.gov.au/slwa_b1662240_1.png
b16795283,,Midland Junction Railway Workshops Offices and Stores Memorial Fund Committee.,"Unveiling ceremony of the Midland Junction railway workshops, offices and stores memorial to fallen soldiers, 20th December 1925 :",1925],6 p. :,Cover title.;Digitised as part of the World War I Centenary Project.,,,"World War, 1914-1918;War memorials",,Unveiling ceremony programme;View the list of fallen soldiers listed in this booklet,http://purl.slwa.wa.gov.au/slwa_b1679528_1;http://www.slwa.wa.gov.au/pdf/ephemera/pr8679mid19.pdf ;http://purl.slwa.wa.gov.au/slwa_b1679528_1.png;http://www.slwa.wa.gov.au/pdf/ephemera/pr8679mid19.pdf.png
b16795854,,,Britain's defenders :,[1920?],38 p. :,,,,,,Britain's defenders,http://purl.slwa.wa.gov.au/slwa_b1679585_1;http://purl.slwa.wa.gov.au/slwa_b1679585_1.png
b17049751,,,Australian Jewry book of honour :,1923,88 p. :,,,,"Jewish soldiers;World War, 1914-1918;World War, 1914-1918",,Australian Jewry,http://purl.slwa.wa.gov.au/slwa_b1704975_1;http://purl.slwa.wa.gov.au/slwa_b1704975_1.png
b17319675,MN 942,"Swan Brewery Company,",Swan Brewery Company records.,1839-208.,38.13 m.;1 online resource (1 leaf) :,Title devised by cataloguer.,"Includes files, balance sheets, correspondence, minutes, agreements, indentures, advertising material, legal opinions, scrapbooks, financial and other documents relating to the Swan Brewery Company; records relating to Swan Brewery Company (N.T.) (1957-1976), Kalgoorlie Brewing Company (1963-1976), Hedland Cold Storage and Agency Company (1969-1976), Skol International (1965-1975), San Miguel and Swan Holdings Ltd. (1970-1974)",,Breweries;Breweries;Brewing industry;Brewing industry,,"ACC 3161A/175: Roll of Honour for employees of the Swan Brewery, ca. 1918;ACC 3161A: Swan Brewery Co., general records;ACC 3162A: Swan Brewery (Northern Territory) Pty Ltd;ACC 3208A: Kalgoorlie Brewing Co.;ACC 3209A: Hedland Cold Storage & Agency Co.;ACC 3210A: Skol International Ltd;ACC 3211A: San Miguel & Swan Holdings Ltd;ACC 5119A: Balance sheets; minutes, Swan Brewery & related companies;ACC 5927A: Canning Vale Brewery plan;ACC 9223A: Minutes of subsidiary companies;ACC 9254A: Financial records;ACC 9258A: Swan Brewery Co., general records",http://purl.slwa.wa.gov.au/slwa_b1731967_2;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3161A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3162A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3208A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3209A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3210A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3211A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC5119A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC5927A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC9223A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC9254A.pdf;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC9258A.pdf;http://purl.slwa.wa.gov.au/slwa_b1731967_2.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3161A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3162A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3208A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3209A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3210A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC3211A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC5119A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC5927A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC9223A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC9254A.pdf.png;http://www.slwa.wa.gov.au/pdf/mn/mn501_1000/mn0942_ACC9258A.pdf.png
b17432479,MN 1127,"Louch, T. S.","Louch family papers,",1805-1984.,25 cm.,"In part, photocopies, photoprints and transcripts.","Much of this collection, which includes biographical and genealogical material, certificates, diaries, letters, menus, narratives, newspaper cuttings, photographs and publications, concerns the Louch family genealogy and T.S Louch's experiences in World War I and II. Includes a leave and railway ticket issued to the armed forces dated 9 October 1918 and a Leave or ration book certificate issued to T.S. Louch in France 5 April 1919.","Louch, T. S.;Louch family",Soldiers;Lawyers,Western Australia,"ACC 3409A/63: HM Forces Overseas (In Uniform) Combined Leave and Railway Ticket, 9 October 1918;ACC 3409A/61: Leave or Duty Ration Book issued to T.S. Louch, France, 5/4/19;4637/1 In the ranks, Parts 2 & 3;3409A/17: Mentioned in despatches, 16th March 1919;3409A/35 Letters regarding awards;ACC 3409A/37: 51st Battalion, AIF. Menu. Dinner in the field, Christmas 1916;ACC 3409A/38: 51st Battalion AIF. Menu. 2nd Anniversary. Officers Dinner, France, March 1918;3409A/39 Menu, 1918;3409A/43 Week-end at Anzac;3409A/44 Greece, Crete and Syria;3409A/57 In the ranks, Part 1;3409A/58 Propaganda leaflet;3409A/59 Race meeting;3409A/60 Anzac bulletin, No. 1;3409A/34 Postcard 1 Mar. 1915;3409A/34 Postcard 1 Mar. 1915;3409A/34 Postcard 14 Feb. 1915;3409A/34 Postcard 14 Feb. 1915;3409A/34 Postcard 15 Apr. 1915;3409A/34 Postcard 15 Apr. 1915;3409A/34 Postcard From Albert, France;3409A/34 Postcard From Albert, France;3409A/34 24th April 1915;3409A/34 5th May 1915;3409A/34 27th Dec 1914;3409A/34 1st Jan 1915;3409A/34 20th Dec 1914;3409A/34 6th Dec 1914;3409A/34 14th Feb 1915;3409A/34 26th Feb 1915;3409A/34 10th Dec 1914;3409A/34 22nd May 1915;3409A/34 20th August 1915;3409A/34 16th August 1915 Cablegram;3409A/34 2nd May 1916;3409A/34 17th June 1916;3409A/34 21st June 1916;3409A/34 29th May 1915;3409A/34 20th & 28th June 1915;3409A/34 10th June 1916;3409A/34 30th July 1915;3409A/34 16th September 1915;3409A/34 2nd April 1918;3409A/34 30th June 1916;3409A/34 18th August 1916;3409A/34 5th August 1916;3409A/34 15th February 1918;3409A/34 22nd December 1916;3409A/34 17th March 1918;View the list of items in this collection",http://purl.slwa.wa.gov.au/slwa_b1743247_1;http://purl.slwa.wa.gov.au/slwa_b1743247_2;http://purl.slwa.wa.gov.au/slwa_b1743247_3;http://purl.slwa.wa.gov.au/slwa_b1743247_102;http://purl.slwa.wa.gov.au/slwa_b1743247_104;http://purl.slwa.wa.gov.au/slwa_b1743247_108;http://purl.slwa.wa.gov.au/slwa_b1743247_113;http://purl.slwa.wa.gov.au/slwa_b1743247_118;http://purl.slwa.wa.gov.au/slwa_b1743247_123;http://purl.slwa.wa.gov.au/slwa_b1743247_129;http://purl.slwa.wa.gov.au/slwa_b1743247_137;http://purl.slwa.wa.gov.au/slwa_b1743247_168;http://purl.slwa.wa.gov.au/slwa_b1743247_170;http://purl.slwa.wa.gov.au/slwa_b1743247_183;http://purl.slwa.wa.gov.au/slwa_b1743247_188;http://purl.slwa.wa.gov.au/slwa_b1743247_189;http://purl.slwa.wa.gov.au/slwa_b1743247_198;http://purl.slwa.wa.gov.au/slwa_b1743247_199;http://purl.slwa.wa.gov.au/slwa_b1743247_200;http://purl.slwa.wa.gov.au/slwa_b1743247_201;http://purl.slwa.wa.gov.au/slwa_b1743247_202;http://purl.slwa.wa.gov.au/slwa_b1743247_203;http://purl.slwa.wa.gov.au/slwa_b1743247_204;http://purl.slwa.wa.gov.au/slwa_b1743247_205;http://purl.slwa.wa.gov.au/slwa_b1743247_206;http://purl.slwa.wa.gov.au/slwa_b1743247_207;http://purl.slwa.wa.gov.au/slwa_b1743247_208;http://purl.slwa.wa.gov.au/slwa_b1743247_209;http://purl.slwa.wa.gov.au/slwa_b1743247_210;http://purl.slwa.wa.gov.au/slwa_b1743247_211;http://purl.slwa.wa.gov.au/slwa_b1743247_212;http://purl.slwa.wa.gov.au/slwa_b1743247_213;http://purl.slwa.wa.gov.au/slwa_b1743247_214;http://purl.slwa.wa.gov.au/slwa_b1743247_215;http://purl.slwa.wa.gov.au/slwa_b1743247_216;http://purl.slwa.wa.gov.au/slwa_b1743247_217;http://purl.slwa.wa.gov.au/slwa_b1743247_218;http://purl.slwa.wa.gov.au/slwa_b1743247_219;http://purl.slwa.wa.gov.au/slwa_b1743247_220;http://purl.slwa.wa.gov.au/slwa_b1743247_221;http://purl.slwa.wa.gov.au/slwa_b1743247_222;http://purl.slwa.wa.gov.au/slwa_b1743247_223;http://purl.slwa.wa.gov.au/slwa_b1743247_224;http://purl.slwa.wa.gov.au/slwa_b1743247_225;http://purl.slwa.wa.gov.au/slwa_b1743247_226;http://purl.slwa.wa.gov.au/slwa_b1743247_227;http://purl.slwa.wa.gov.au/slwa_b1743247_228;http://purl.slwa.wa.gov.au/slwa_b1743247_229;http://purl.slwa.wa.gov.au/slwa_b1743247_230;http://www.slwa.wa.gov.au/pdf/mn/mn1001_1500/mn1127.pdf;http://purl.slwa.wa.gov.au/slwa_b1743247_1.png;http://purl.slwa.wa.gov.au/slwa_b1743247_2.png;http://purl.slwa.wa.gov.au/slwa_b1743247_3.png;http://purl.slwa.wa.gov.au/slwa_b1743247_102.png;http://purl.slwa.wa.gov.au/slwa_b1743247_104.png;http://purl.slwa.wa.gov.au/slwa_b1743247_108.png;http://purl.slwa.wa.gov.au/slwa_b1743247_113.png;http://purl.slwa.wa.gov.au/slwa_b1743247_118.png;http://purl.slwa.wa.gov.au/slwa_b1743247_123.png;http://purl.slwa.wa.gov.au/slwa_b1743247_129.png;http://purl.slwa.wa.gov.au/slwa_b1743247_137.png;http://purl.slwa.wa.gov.au/slwa_b1743247_168.png;http://purl.slwa.wa.gov.au/slwa_b1743247_170.png;http://purl.slwa.wa.gov.au/slwa_b1743247_183.png;http://purl.slwa.wa.gov.au/slwa_b1743247_188.png;http://purl.slwa.wa.gov.au/slwa_b1743247_189.png;http://purl.slwa.wa.gov.au/slwa_b1743247_198.png;http://purl.slwa.wa.gov.au/slwa_b1743247_199.png;http://purl.slwa.wa.gov.au/slwa_b1743247_200.png;http://purl.slwa.wa.gov.au/slwa_b1743247_201.png;http://purl.slwa.wa.gov.au/slwa_b1743247_202.png;http://purl.slwa.wa.gov.au/slwa_b1743247_203.png;http://purl.slwa.wa.gov.au/slwa_b1743247_204.png;http://purl.slwa.wa.gov.au/slwa_b1743247_205.png;http://purl.slwa.wa.gov.au/slwa_b1743247_206.png;http://purl.slwa.wa.gov.au/slwa_b1743247_207.png;http://purl.slwa.wa.gov.au/slwa_b1743247_208.png;http://purl.slwa.wa.gov.au/slwa_b1743247_209.png;http://purl.slwa.wa.gov.au/slwa_b1743247_210.png;http://purl.slwa.wa.gov.au/slwa_b1743247_211.png;http://purl.slwa.wa.gov.au/slwa_b1743247_212.png;http://purl.slwa.wa.gov.au/slwa_b1743247_213.png;http://purl.slwa.wa.gov.au/slwa_b1743247_214.png;http://purl.slwa.wa.gov.au/slwa_b1743247_215.png;http://purl.slwa.wa.gov.au/slwa_b1743247_216.png;http://purl.slwa.wa.gov.au/slwa_b1743247_217.png;http://purl.slwa.wa.gov.au/slwa_b1743247_218.png;http://purl.slwa.wa.gov.au/slwa_b1743247_219.png;http://purl.slwa.wa.gov.au/slwa_b1743247_220.png;http://purl.slwa.wa.gov.au/slwa_b1743247_221.png;http://purl.slwa.wa.gov.au/slwa_b1743247_222.png;http://purl.slwa.wa.gov.au/slwa_b1743247_223.png;http://purl.slwa.wa.gov.au/slwa_b1743247_224.png;http://purl.slwa.wa.gov.au/slwa_b1743247_225.png;http://purl.slwa.wa.gov.au/slwa_b1743247_226.png;http://purl.slwa.wa.gov.au/slwa_b1743247_227.png;http://purl.slwa.wa.gov.au/slwa_b1743247_228.png;http://purl.slwa.wa.gov.au/slwa_b1743247_229.png;http://purl.slwa.wa.gov.au/slwa_b1743247_230.png;http://www.slwa.wa.gov.au/pdf/mn/mn1001_1500/mn1127.pdf.png
b17438111,MN 1165,"Turner, James Leslie,",James Leslie Turner World War I postcards collection.,1916-1917.,154 postcards :;1 online resource (308 image files) ,,"James Leslie Turner, a lance sergeant of the 28th Battalion from Fremantle has been sending photographic postcards, some in colour, of  England and France to members of his family in Western Australia whilst serving with the Australian forces in World War I. The postcards were sent from various camps in Alexandria, Marseilles, London, Wool, Wareham in Dorset, Andover on Salisbury Plain, Fovant in Wiltshire, Le Havre in Haute-Normandie and Reims in France's Champagne-Ardenne region. He died of wounds on 11 June 1918 in France. The collection includes three postcards from his acquaintance, William Omond of New South Wales, who was also serving the Australian Imperial Force (A. I. F.).","Turner, Leslie,","Soldiers;World War, 1914-1918;World War, 1914-1918",Marseille (France);Paris (France);Egypt,view the list of items in this collection.,http://www.slwa.wa.gov.au/pdf/mn/mn1001_1500/mn1165_1.pdf  ;http://www.slwa.wa.gov.au/pdf/mn/mn1001_1500/mn1165_1.pdf.png
b17507868,MN 1290,"Elder, Thomas Henry,","Reminiscences,",[19--],1 cm.,,Reminiscences of the First World War with some references to early life in Western Australia.,"Elder, Thomas Henry,","World War, 1914-1918",Western Australia,"ACC 4026A: Reminiscences of Thomas Henry Elder, his life and his part in World War I",http://purl.slwa.wa.gov.au/slwa_b1750786_42;http://purl.slwa.wa.gov.au/slwa_b1750786_42.png
b1815072x,OH501,"Hewson, Robert Graham,",[Interview with Robert Hewson],1979,"3 sound cassettes (2 hr., 15 min., 19 sec.) +",OHrecon.;Transcribed by Joe Blake in August 2013.,"His life history especially working on the Goldfields Water Supply Scheme, Mundaring Weir, railways, experiences in the first World War, and social conditions relating to working in general. Loss his sight in 1951. ","Hewson, Robert Graham,",Boilers;Boilers,,OH501: Transcript. Interview with Robert Hewson / interviewed by H. G. Clements,http://purl.slwa.wa.gov.au/slwa_b1815072_6;http://purl.slwa.wa.gov.au/slwa_b1815072_6.png
b18212797,BA1796,,McLeod collection of photographs.,1900-1923.,8 photographs :,"The images in this collection portray Malcolm McLeod (Oct 31,1915) as a young recruit in a single portrait, in a group with 12th Battalion, and his name on the memorial at the unveiling of the Subiaco War Memorial (25 Nov. 1923). Other images include J. McLeod, publican of Wattle Tree Hotel; A. MacLeod, dairy produce merchant in horse and cart; a group of Aborigines receiving rations at Ooldea in 1919; and a camel train at Ooldea, 1919.","Photograph BA1796/1 is the 11th Reinforcements - 12th Battalion, winners of platoon drill (8-hours Day Sports). Fourth row (Standing) left to right: Privates R.V. Sanders, R.J. Williams, W.H. Coombe, J.A. Allan, B.H. Kneale, H.E. Thomson, J. Coppin, G. Williams, J.A. Gordon, J. Hopkins, W.F.B. Creech, H.B. Allen, T.W.J. Telfer, J.F. Graham. Third row (kneeling) left to right: Privates A.S. McKinlay, F.W. Ainley, A.J. Denton, R. Gilbert, J.B. Judge, W.J. Cornish, R.C. Buchanan, J. Jones, L. Haydon, D.G. Michael, M.M. Bollard, H.A. Williamson, R. Hale, R.K. Randell. Second row (sitting) left to right: Privates F. Buck, R.H. Cornish, M.D. McLeod, H. Bridger, E.H. West, Sgt.-Major Denslow, Lieut, F.W. Bailey, Sgt J. McCully, E.A. Wills, H.W.J. Boucher, W.V. Hall, R. Bickersteth, Cpl. T.E. Hay, J. Rowe. Front row (sitting) left to right: Privates M.O. O'Keeffe, G.F. Masterson, E.J. Stephens, H. Rose, A.E. Bailey, Cpl W.T. Bower, Cpl G.S. Broadley, P.B. Powell, J. Calder, A.J. Wells, J.S. Kidd, J.D. Marshall, G.S. Fairweather.","Sanders, Ralph Victor,;Williams, Richard James;Coombe, William Henry;Allan, John Alexander;Kneale, Bertram Hugh;Thomson, Harold Eastwood;Coppin, James;Williams, George;Gordon, James Alexander,;Hopkins, John;Creech, William Frank Bernard;Allen, Horace Beresford;Telfer, Thomas Wilkinson James;Graham, John Frederick;McKinlay, Alan Stanley;Ainley, Fred Wilfred;Denton, Arthur Jacob;Gilbert, Richard;Judge, John Bertram;Cornish, Wilfred,;Buchanan, Robert Charles;Jones, James;Haydon, Lewis;Michael, David Gordon;Bollard, Maurice Montgomery;Williamson, Andrew Henry;Hale, Rupert;Randell, Keith Raymond;Buck, Felix George;Cornish, Reginald Henry;McLeod, Malcolm Donald,;Bridger, Hugh;West, Ernest Harold;Denslow, Francis George;Bailey, Francis William Samuel;McCully, James;Wills, Egbert Athelstone;Boucher, Herbert William John,;Hall, Walter Vernon;Bickersteth, Robert;Hay, Thomas Egbert;Rowe, John;O'Keeffe, Michael O.;Masterson, George Frederick;Stephens, Eric John,;Rose, Horace;Bailey, Arthur Ernest;Bower, Walter Thomas;Broadley, George Stanley;Powell, Percy Benjamin,;Calder, James;Wells, Alfred James,;Kidd, Joseph Sowden;Marshall, John Dunn;Fairweather, Groves Samuel;MacLeod, A.;McLeod, J.",Milk vendors;War Memorials;Subiaco Fallen Soldiers Memorial;Aboriginal Australians;Camels;Hotels;Soldiers,Subiaco War Memorial;Ooldea (S.A.),"BA1796/1: 11th Reinforcements - 12th Battalion, winners of platoon drill (8-hours Day Sports), 1915;BA1796/2: Malcolm Donald McLeod, 31 October 1915;BA1796/3: Unveiling of the Subiaco Fallen Soldiers Memorial, 25 November 1923;BA1796/4: Roll of honour on the Subiaco Fallen Soldiers Memorial including M.D. McLeod, 25 November 1923",http://purl.slwa.wa.gov.au/slwa_b1821279_5;http://purl.slwa.wa.gov.au/slwa_b1821279_6;http://purl.slwa.wa.gov.au/slwa_b1821279_7;http://purl.slwa.wa.gov.au/slwa_b1821279_8;http://purl.slwa.wa.gov.au/slwa_b1821279_5.png;http://purl.slwa.wa.gov.au/slwa_b1821279_6.png;http://purl.slwa.wa.gov.au/slwa_b1821279_7.png;http://purl.slwa.wa.gov.au/slwa_b1821279_8.png
b18452383,,,Subiaco roll of honour erected by the Subiaco Municipal Council.,1917,[12]p. :,""" December 8th, 1917""",,,"World War, 1914-1918;Decorations of honor;Soldiers",,Subiaco roll of honour,http://purl.slwa.wa.gov.au/slwa_b1845238_1;http://purl.slwa.wa.gov.au/slwa_b1845238_1.png
b18467970,,,"Maylands Senior State School, Western Australia.",1918,12:00 PM,"Caption title.;"" November 11th, 1918"";Digitised as part of the World War I Centenary Project.",,,"High schools;Fund raising;World War, 1914-1918",,Maylands Senior State School,http://purl.slwa.wa.gov.au/slwa_b1846797_1;http://purl.slwa.wa.gov.au/slwa_b1846797_1.png
b18473192,BA591,,Tom Suter.,1914-1916.,1 photograph :,,In army uniform.,"Suter, Tom",Soldiers,,"BA591: Tom Suter, 1914-1916",http://purl.slwa.wa.gov.au/slwa_b1847319_2;http://purl.slwa.wa.gov.au/slwa_b1847319_2.png
b18487853,,,The Port Hacking cough :,[1918-1919],v.,Published at sea.;Digitised as part of the World War I Centenary Project.,,,"Veterans;World War, 1914-1918",,Vol. 1,http://purl.slwa.wa.gov.au/slwa_b1848785_1;http://purl.slwa.wa.gov.au/slwa_b1848785_1.png
b1852364x,BA580,"Blackboy Hill Studio,","11th Re-inforcements 51st Battalion, Septr 19th 1917.",1917,1 photograph :,Caption title.,,,Soldiers;Online image.,,"BA580: 11th Reinforcements 51st Battalion, September 19th 1917",http://purl.slwa.wa.gov.au/slwa_b1852364_2;http://purl.slwa.wa.gov.au/slwa_b1852364_2.png
b18541835,BA703,,A postcard embroidered with the badge of the Royal Artillery surmounted by a British and a French flag.,1916-1918.,"1 postcard, embroidered :",,Made in France. Embroidered cards were sent by soldiers from France and Belgium during WWI. The motto is Quo fas et gloria ducunt (Where right and glory lead). There is no text on the back.,,,,"BA703: Front of a postcard embroidered with the badge of the Royal Artillery surmounted by a British and a French flag, 1916-1918",http://purl.slwa.wa.gov.au/slwa_b1854183_2;http://purl.slwa.wa.gov.au/slwa_b1854183_2.png
b18746925,PR12571,,Pioneer exhibition game :,1916,[12] p. :,,"Programme for match held at Queen's Club, West Kensington between 3rd Australian Division and the Australian Training Units.",,"Football;Australian football.;Sports;World War, 1914-1918.",,PR12571: Pioneer exhibition game,http://purl.slwa.wa.gov.au/slwa_b1874692_13;http://purl.slwa.wa.gov.au/slwa_b1874692_13.png
b18941370,PR2161,[Commonwealth Peace Celebrations Committee of W.A.],"Peace Celebrations, 11 July 1919 :",1919,2:00 PM,,,,"World War, 1914-1918;Invitation cards;Printed ephemera.",,PR2161/1: Song sheet;PR2161/1: Song sheet;PR2161/2: Invitation,http://purl.slwa.wa.gov.au/slwa_b1894137_3;http://purl.slwa.wa.gov.au/slwa_b1894137_4;http://purl.slwa.wa.gov.au/slwa_b1894137_7;http://purl.slwa.wa.gov.au/slwa_b1894137_3.png;http://purl.slwa.wa.gov.au/slwa_b1894137_4.png;http://purl.slwa.wa.gov.au/slwa_b1894137_7.png
b18944541,BA766,,Photographs of the 10th Light Horse and medical services in Egypt during World War I,1915-1918.,157 photographs :,,,,"World War, 1914-1918;Military hospitals",,BA766: Photographs of the 10th Light Horse and medical services in Egypt during World War I,http://purl.slwa.wa.gov.au/slwa_b1894454_44;http://purl.slwa.wa.gov.au/slwa_b1894454_44.png
