Creator,Title,Edition,Publication details,Physical description,Notes,Contents,Summary,Subject - Personal name,Subject - Corporate name,Subject - Topical,Subject - geographic,Subject - Form/Genre,Subject - Uniform title,Other creator,ISBN,Series,Other formats,URL
"Tyquin, Michael B.(Michael Bernard),1952- ",Gallipoli :an Australian medical perspective /Michael Tyquin.,,"Newport, N.S.W. :Big Sky Publishing,2012.","viii, 148 p. :ill. (some col.), col. maps, ports ;23 cm.",,,,,Australia.--Army.--Medical Corps--History.,"Medicine, Military--Australia--History. ; --War--Medical aspects. ; --World War, 1914-1918--Medical care--Australia. ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula.",,,,,9781921941863 (pbk.) ; 1921941863,Australian Army combat support series ;1,,
"Plunkett, Geoff,author. ",Death by mustard gas :how military secrecy and lost weapons can kill /Geoff Plunkett.,,"Newport, NSW :Big Sky Publishing,2014.","xxiv, 228 pages :illustrations, facsimiles, maps, portraits ;24 cm.",,,"In 1943 a top secret consignment of chemical weapons, including deadly mustard gas, arrived in Australia by ship. But there was a problem it was leaking. Military authorities quickly realised this but, in the interests of secrecy, sent unprotected and unsuspecting wharf labourers into a lethal environment. The result was catastrophic: permanent disability and death. This shocking narrative includes accounts of official deceit, intimidation of gassed labourers and denial of natural justice. The truth, buried in classified documents and the testimony of the few survivors, is that human life was sacrificed for the sake of secrecy. Almost 70 years after war stocks of chemical weapons were apparently totally destroyed, mustard gas is still present on the Australian mainland, in her oceans and along her coastal fringed. The total destruction of chemical stocks is simply another military assumption. The truth is that these deadly weapons were incompletely destroyed, buried or simply lost. Many retain their effectiveness despite the passing of time, a fact that cost one man his life and saw staff and children at a school badly burned. Mustard gas weapons have been retrieved as recently as 2012 and more may lie in shallow graves waiting to be uncovered. This is a very real lesson for the military today.",,"Australia.--Royal Australian Air Force. ; --Royal Prince Alfred Hospital and Area Health Service (Sydney, N.S.W.) ; --Blue Funnel Line--History.","Chemical weapons--Australia ; --Chemical agents (Munitions) ; --Weapons of mass destruction. ; --Chemical weapons--Health aspects--Australia. ; --Chemical weapons--Southeast Asia--History. ; --World War, 1939-1945--Chemical warfare. ; --World War, 1914-1918--Chemical warfare. ; --Chemical weapons disposal--Australia--History. ; --Railroads and state--New South Wales, Northern ; --Chemical weapons--Safety measures. ; --Stevedores. ; --Chemical warfare--Health aspects. ; --Chemical warfare--History--20th century. ; --Phosgene--Toxicology ; --Mustard gas.",,,,Australia.Department of Defencecontributor.,9781922132918 (hardback),Australian Army history collection,,
"Holloway, David,1927-author. ",Combat colonels of the AIF in the Great War /David Clare Holloway.,,"Newport, New South Wales :Big Sky Publishing,2014. ; ©2014","417 pages, 32 unnumbered pages of plates :illustrations, maps, portraits ;24 cm.",,,,,Australia.--Army--Officers--Biography.,"Generals--Australia--Biography. ; --World War, 1914-1918--Campaigns.",,,,,9.78E+12,Australian army history collection,,
"Finlayson, Damien. ",Crumps and camouflets :Australian tunnelling companies on the Western Front /Damien Finlayson.,,"Newport, N.S.W. :Big Sky,2010.","xxiii, 480 p. :ill., maps, ports. facsims. ;24 cm.",,,"Below the shattered ground that separated the British and German infantry on the Western Front in World War I, an unseen and largely unknown war was raging, fought by miners, 'tunnellers' as they were known. They knew at any moment their lives could be extinguished without warning by hundreds of tonnes of collapsed earth and debris.",,Australia.--Army.--Australian Imperial Force (1914-1921),"World War, 1914-1918--Tunnel warfare--France. ; --World War, 1914-1918--Tunnel warfare--Belgium. ; --World War, 1914-1918--Campaigns--Western Front. ; --World War, 1914-1918--Australia.",,,,,9780980658255 (hbk.),Australian Army history collection,,
"Wray, Christopherauthor. ",Pozières :echoes of a distant battle /Christopher Wray.,,"Cambridge :Cambridge University Press,2015. ; ©2015","xii, 244 pages :illustrations, maps ;24 cm.",,,,,Great Britain.--Army.--Australian and New Zealand Army Corps--History,"World War, 1914-1918--Australia ; --World War, 1914-1918--Campaigns--France--Pozières",Pozières (France)--History--20th century.,,,,9781107093485 ; 1107093481,Australian Army history series,,
"Johnston, Mark,1960-author. ",Stretcher-bearers :saving Australians from Gallipoli to Kokoda /Mark Johnston.,,"Melbourne, Vic. :Cambridge University Press,2015. ; ©2015.","xi, 349 pages :illustrations, portraits, maps ;25 cm.",,,"Stretcher-bearers is a compelling account of the experience of Australian stretcher-bearers during the First and Second World Wars. Respected military historian, Mark Johnston traces the development of formal stretcher-bearing from its origin in the early nineteenth century under Napoleon to the Second World War. Johnston draws on accounts by stretcher-bearers who worked on the front line, as well as tributes from rescued soldiers, to deepen our understanding of the crucial role these soldiers played in Gallipoli, Palestine, the Western Front in World War I, and in the Middle East and the Pacific in World War II. The narrative is further driven by rich imagery, featuring over 130 full-page photographs. This book provides a generously illustrated, engaging and moving account of the history of the stretcher-bearer, a figure praised by countless Diggers but never previously the subject of a book.",,Australia.--Army--Transport of sick and wounded. ; --Australia.--Army--Medical care. ; --Australia.--Army.--Field Ambulance. ; --Australia.--Australian Army Medical Services--History.,"Soldiers--Wounds and injuries--Treatment--Australia. ; --World War, 1914-1918--Medical care. ; --Military history, Modern. ; --World War, 1939-1945--Medical care. ; --Transport of sick and wounded. ; --World War, 1939-1945--Australia. ; --World War, 1914-1918--Australia.",Australia--Armed Forces--History.,,,,1107087198 (hardback) ; 9781107087194 (hardback),Australian Army history series,,
"Johnston, Mark,1960-author. ",Stretcher-bearers :saving Australians from Gallipoli to Kokoda /Mark Johnston.,,"Melbourne, Vic. :Cambridge University Press,2015. ; ©2015.","xi, 349 pages :illustrations, portraits, maps ;25 cm.",,,"Stretcher-bearers is a compelling account of the experience of Australian stretcher-bearers during the First and Second World Wars. Respected military historian, Mark Johnston traces the development of formal stretcher-bearing from its origin in the early nineteenth century under Napoleon to the Second World War. Johnston draws on accounts by stretcher-bearers who worked on the front line, as well as tributes from rescued soldiers, to deepen our understanding of the crucial role these soldiers played in Gallipoli, Palestine, the Western Front in World War I, and in the Middle East and the Pacific in World War II. The narrative is further driven by rich imagery, featuring over 130 full-page photographs. This book provides a generously illustrated, engaging and moving account of the history of the stretcher-bearer, a figure praised by countless Diggers but never previously the subject of a book.",,Australia.--Army--Transport of sick and wounded. ; --Australia.--Army--Medical care. ; --Australia.--Army.--Field Ambulance. ; --Australia.--Australian Army Medical Services--History.,"Soldiers--Wounds and injuries--Treatment--Australia. ; --World War, 1914-1918--Medical care. ; --Military history, Modern. ; --World War, 1939-1945--Medical care. ; --Transport of sick and wounded. ; --World War, 1939-1945--Australia. ; --World War, 1914-1918--Australia.",Australia--Armed Forces--History.,,,,1107087198 (hardback) ; 9781107087194 (hardback),Australian Army history series,,
"Stevenson, Robert C. ","To win the battle :the 1st Australian Division in the great war, 1914-18 /Robert C Stevenson.",,"Cambridge ;Port Melbourne, Vic. :Cambridge University Press,2013.","xviii, 290 p. :ill., ports., maps. ;25 cm.",,,"In 1915 the 1st Australian Division led the way ashore at Gallipoli. In 1916 it achieved the first Australian victory on the Western Front at Pozieres. It was still serving with distinction in the battles that led to the defeat of the German army in 1918. To Win the Battle explains how the division rose from obscurity to forge a reputation as one of the great fighting formations of the British Empire during the First World War, forming a central part of the Anzac legend. Drawing on primary sources as well as recent scholarship, this fresh approach suggests that the early reputation of Australia's premier division was probably higher than its performance warranted. Robert Stevenson shows that the division's later success was founded on the capacity of its commanders to administer, train and adapt to the changing conditions on the battlefield, rather than on the innate qualities of its soldiers.",,"Australia.--Army.--Division, 1st--History.","World War, 1914-1918--Regimental histories--Australia.",,,,,9781107028685 (hbk.),Australian Army history series,,
"Likeman, Robert,author. ",Australian doctors on the western front :France and Belgium 1916-1918 /Robert Likeman.,,"Dural Delivery Centre NSW :Rosenberg Publishing,2014. ; ©2014","496 pages :illustrations, portraits, maps, photographs ;26 cm.",,,"This book covers the carnage on the Western Front from 1916-1918. Likeman provides mini-biographies of each of the more than 600 Australian doctors, and the Australian Army Medical Corps units and hospitals, which served on the Western Front and in the training establishments in the UK. Each officers medical qualifications are listed, along with any honours and awards, as well as numerous photographs. There are also introductory essays about the campaigns in which the Australians served, and accompanying maps.",,Australia.--Army.--Medical Corps--Biography.,"World War, 1914-1918--Medical care--Australia. ; --World War, 1914-1918--Campaigns--Western Front. ; --Physicians--Australia--Biography.",,,,,9.78E+12,Australian doctors at war ;3,,
"Likeman, Robert. ",Gallipoli doctors /Robert Likeman ; series editor: Ron Austin.,,"McCrae, Vic. :Slouch Hat Publications,2010.","223 p. :ill., ports ;26 cm.",Includes index.,,Gallipoli Doctors is a comprehensive record of the contribution made by almost 300 Doctors of the AIF during the Gallipoli Campaign.,,Australia.--Army.--Medical Corps--Biography.,"Physicians--Australia--Biography. ; --World War, 1914-1918--Medical care--Australia. ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula.","Gallipoli Peninsula (Turkey)--History, Military.",,,"Austin, Ronald J.(Ronald James),1936-",9780980637335 (hbk.),Australian doctors at war series ;1,,
"Reid, Richard,1944- ",Gallipoli /[researched and written by Richard Reid].,,"Canberra :Department of Veteran's Affairs,2010.","168 p. :ill. (some col.), maps, ports. ;24 cm.",,,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --World War, 1914-1918--Turkey--Gallipoli Peninsula--Participation, Australian.",,,,Australia.Department of Veterans' Affairs.,9781877007538 (pbk.) ; 9781877007552 (pbk.),Australians in World War 1,,
"Pelvin, Richard. ",Royal Australian Navy /[researched and written by Richard Pelvin].,,"Canberra :Department of Veterans' Affairs,2010.","128 p. :ill. (some col.), maps, ports. ;24 cm.",,,,,Australia.--Royal Australian Navy--History.,"World War, 1914-1918--Naval operations, Australian. ; --World War, 1914-1918--Australia.",,,,"Pelvin, Richard. ; Australia.Department of Veterans' Affairs.",9781877007538 (pbk.),Australians in World War I,,
 ,"Roll of Honour circulars, 1914-1918 war[microform]",,"Canberra :Australian War Memorial,1987",1813 microfiches :negative,"Copied from printed forms, now held by the Australian War Memorial, sent out in the 1920s by the Dept. of Defence to collect information for the Roll of Honour. Completed mainly by next-of-kin, they are arranged by surname and include locality information. ; Header title: AWM 131.",,,,Australia.--Army.--Australian Imperial Force (1914-1921)--Registers of dead,"World War, 1914-1918--Registers of dead--Australia",Australia--Armed Forces--Registers of dead,,,Australia.Department of Defence. ; Australian War Memorial,,AWM ;131,,
Australia.Army.Australian Imperial Force (1914-1921) ,Nominal roll of deceased members of the A.I.F. & A.N. & M.E.F.[microform],,"<Canberra :Australian War Memorial,1984?>",245 microfiches :negative,Header title: Nominal roll of deceased 1914-1918 war.,,,,Australia.--Army.--Australian Imperial Force (1914-1921)--Registers of dead ; --Australia.--Australian Naval and Military Expeditionary Force--Registers of dead,"World War, 1914-1918--Registers of dead--Australia",Australia--Armed Forces--Registers of dead,,,Australian War Memorial,,AWM ;136,,
 ,"Official history 1914-1918 war, biographical cards[microform]",,"Canberra, ACT :Australian War Memorial,1992","<1>, 223 microfiches :negative","'To assist in compiling the 'Official history of Australia in the war of 1914-18' the Official Historian's staff kept a large card index of basic biographical data on persons mentioned in the publication ... For most biographical footnotes in the published official history a corresponding biographical card exists.' - Fr. 2. ; Header title: AWM 140 Official history 1914-1918 war, biographical cards. ; At head of title: Australian War Memorial, Official records.",,,,,"World War, 1914-1918--Australia--Sources",,,Official history of Australia in the war of 1914-1918--Sources,Australian War Memorial,,AWM ;140,,
 ,"Roll of honour cards, 1914-1918 War, Royal Australian Navy[microform]",,"Canberra :Australian War Memorial,1988",4 microfiches :negative,"Header title: AWM 144 RAN WWI. ; At head of title: AWM 144. ; Compiled from information supplied by the Department of Defence and Repatriation, and from the next-of-kin of deceased personnel.",,,,Australia.--Royal Australian Navy--Registers of dead,"World War, 1914-1918--Registers of dead--Australia",Australia--Armed Forces--Registers of dead,,,Australia.Department of Defence. ; Australia.Department of Repatriation. ; Australian War Memorial,,AWM ;144,,
 ,"Roll of Honour circulars, 1914-18 war. Supplementary series[microform]",,"Canberra :Australian War Memorial,1991",126 microfiches :negative,"Copied from printed forms, now held by the Australian War Memorial, sent out (by the Dept. of Defence?) to collect information for the Roll of Honour. Completed mainly by next-of-kin, they are arranged by surname and include locality information. ; At beginning of header title: AWM 164. ; At head of title: Australian War Memorial official records.",,,,Australia.--Army.--Australian Imperial Force (1914-1921)--Registers of dead,"World War, 1914-1918--Registers of dead--Australia",Australia--Armed Forces--Registers of dead,,,Australia.Department of Defence. ; Australian War Memorial,,AWM ;164,,
 ,[Guide to World War I nominal rolls (embarkation rolls) held by the Australian War Memorial],,,"[6], 40 p. ;30 cm.","Series title according to document: Unit embarkation rolls (nominal rolls), War of 1914-18. ; Photocopy.",Content: 1914-19.,,,Australia.--Army.--Australian Imperial Force (1914-1921)--Registers,"World War, 1914-1918--Australia--Registers ; --World War, 1914-1918--Queensland--Registers",,,,Australian War Memorial,,AWM ;8,,
 ,"AIF Unit embarkation nominal rolls, 1914-18 war[microform]",,"Canberra :Australian War Memorial,1992",1956 microfiches :negative,Includes inventory. ; '... Comprises the printed nominal rolls of Australian Imperial Force (AIF) units as they embarked from Australia during the 1914-18 War. The rolls cover individual unit embarkations and their subsequent reinforcements.' -- Inventory fiche INV1. ; Header title. ; Reproduced by Hermes Precisa Australia.,,,,Australia.--Army.--Australian Imperial Force (1914-1921)--Registers,"World War, 1914-1918--Australia--Registers",Australia--Armed Forces--Registers,,,Australian War Memorial,,AWM ;8,,
 ,"AIF Unit embarkation nominal rolls, 1914-1918 war",,"Canberra :Australian War Memorial,1992",1 v. (unpaged) ;30 cm.,Includes index to the Inventory. ; Guide to the printed nominal rolls of Australian Imperial Force (AIF) units as they embarked from Australia during the 1914-18 War. The rolls cover individual unit embarkations and their subsequent reinforcements. ; The guide accompanies the microfilm series AWM 8. ; At head of title: Series AWM 8. ; Reproduced by Hermes Precisa Australia. ; Spiral binding.,,,,Australia.--Army.--Australian Imperial Force (1914-1921)--Registers,"World War, 1914-1918--Australia--Registers",,,,,,AWM ;8,,
"Carter, Charlie. ",White war /Charlie Carter ; illustrated by Russell Jeffery.,,"Sydney :Pan Macmillan,2010.",89 p. :ill. ;20 cm.,"""Spying on the past""--Cover and t.p.",,"Date:25 December 1914. Destination: No-Man's-Land. It's a Level 5 security mission., so top secret Skin doesn't know what's what. Battle Boy arrives to the roar of war: guns firing, cannons blasting. soldiers fighting across mud-drenched tranches.",,,"World War, 1914-1918--Juvenile fiction. ; --Spy stories.",,War stories.--gsafd ; --Science fiction.--gsafd,,"Jeffery, Russell.",9780330403870 (pbk.),Battle boy ;9,,
"Chambers, Stephen(Stephen J.),author. ","Gallipoli :Anzac, Sari Bair /Stephen Chambers.",,"Barnsley, South Yorkshire :Pen & Sword Military,2014. ; ©2014","244 pages :illustrations (black and white), maps (black and white) ;22 cm.",,ch. One Planning and Preparation -- ch. Two The Diversionary Assaults -- ch. Three The Breakout -- ch. Four 7 August -- Lost -- ch. Five 8 August -- Chunuk Bair -- ch. Six 9 August -- Fight for the Heights -- ch. Seven 10 August -- Turkish Counter Attack -- ch. Eight Hill 60 -- The Last Battle -- ch. Nine The Battlefield Today -- Advice to Travellers -- Tour One Diversionary Assaults -- Lone Pine to The Nek -- Tour Two The Outpost Walks and Hill 60 -- Tour Three Walking the Rhododendron Spur.,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --World War, 1914-1918--Battlefields--Turkey--Gallipoli Peninsula.",,,,,9781781591901 (paperback),Battleground Europe ; Battleground Gallipoli,,
"Chambers, Stephen(Stephen J.),author. ","Gallipoli :Anzac, Sari Bair /Stephen Chambers.",,"Barnsley, South Yorkshire :Pen & Sword Military,2014. ; ©2014","244 pages :illustrations (black and white), maps (black and white) ;22 cm.",,ch. One Planning and Preparation -- ch. Two The Diversionary Assaults -- ch. Three The Breakout -- ch. Four 7 August -- Lost -- ch. Five 8 August -- Chunuk Bair -- ch. Six 9 August -- Fight for the Heights -- ch. Seven 10 August -- Turkish Counter Attack -- ch. Eight Hill 60 -- The Last Battle -- ch. Nine The Battlefield Today -- Advice to Travellers -- Tour One Diversionary Assaults -- Lone Pine to The Nek -- Tour Two The Outpost Walks and Hill 60 -- Tour Three Walking the Rhododendron Spur.,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --World War, 1914-1918--Battlefields--Turkey--Gallipoli Peninsula.",,,,,9781781591901 (paperback),Battleground Europe ; Battleground Gallipoli,,
"Remak, Joachim,1920- ","The origins of World War 1, 1871-1914",,"Hinsdale, Ill. :Dryden Press,1967",162 p. ;22 cm.,With bibl.,,,,,"World War, 1914-1918--Causes",,,,,30828392,Berkshire studies in history,,
"Hughes, R. W. (Bill). ",Hack :a biography of the life and work of Rev Harold George Hackworthy MC MA 1891-1953 /by R.W. (Bill) Hughes.,,"[Brisbane] :Baptist Heritage Queensland,c2009.","x, 112 p. :ill., ports., ;21 cm.",,,,"Hackworthy, Harold George,--1891-1953.",Australia.--Army.--Australian Imperial Force (1914-1921)--Biography.,"Baptists--Australia--History. ; --World War, 1914-1918--Australia--Biography. ; --Amiens, Battle of, 1918.",,,,,9.78E+12,BHSQ Baptist historical series ;no. 15.,,
"Bowes, Joseph,1852-1928 ",The Aussie crusaders /Joseph Bowes.,,"London :Humphrey Milford, Oxford University Press,[1920]","x, 270 p., 1 leaf of plates :1 col. ill. ;19 cm.",With frontispiece.,,,,Australia.--Army.--Light Horse--Juvenile fiction. ; --Australia.--Army.--Australian and New Zealand Army Corps--Juvenile fiction.,"World War, 1914-1918--Juvenile fiction.",,,,,,Boy's new library,,
"Bowes, Joseph,1852-1928 ",The young Anzacs /Joseph Bowes,,"London, [England] :Humphrey Milford, Oxford University Press,[1918?]",276 p. :col. ill. ;19 cm.,Frontispiece titled: Jack hurled himself upon him.,,,,Australia.--Army.--Australian and New Zealand Army Corps--Juvenile fiction. ; --Australia.--Army.--Light Horse--Juvenile fiction.,"World War, 1914-1918--Juvenile fiction.",,,,,,Boy's new library,,
"Winegard, Timothy C.(Timothy Charles),1977- ",Indigenous peoples of the British dominions and the first world war /Timothy C. Winegard.,,"New York :Cambridge University Press,2012.","xiv, 312 p. :ill., maps ;24 cm.",,1.Colonization and the settler state -- 2.Racial constructs and martial theories -- 3.Precedents of military pragmatism -- 4.Dominion defence acts -- 5.1914: Subjugated spectators -- 6.1915--1916: King and country call -- 7.1917--1918: All the King's men -- 8.Indigenous soldiers -- 9.The home front -- 10.Peace with prejudice.,,,Great Britain.--Army--Colonial forces--History--20th century.,"Indigenous peoples--Great Britain--Colonies--History. ; --Indigeous peoples--Commonwealth countries--History. ; --World War, 1914-1918--Great Britain. ; --World War, 1914-1918--Commonwealth countries.",,,,,9781107014930 (hardback : alk. paper) ; 110701493X (hardback : alk. paper),Cambridge military histories,,
"Wavell, Archibald Percival Wavell,Earl of,1883-1950 ",The Palestine campaigns,,"Lond. :Constable,1928", :Maps ;21 cm.,,,,,,"World War, 1914-1918--Campaigns--Palestine",,,,,,"Campaigns and their lessons, ed. by Sir Charles Callwell",,
 ,Gallipoli :making history /edited by Jenny Macleod.,,"London :Routledge,2012.","ix, 194 p. ;24 cm.","Chiefly papers presented at an April, 2001, symposium.",,"""The Gallipoli campaign of 1915 serves as an excellent case study through which the process of 'making history' can be observed. This edited book traces the disparities in the memory of 'Gallipoli' evident among the countries that participated in the campaign. It explores the way in which history is written at the personal, local, professional and, ultimately, the national level."" ""This book will be of interest to upper-level undergraduate and postgraduate students of the history and historiography of World War I.""--BOOK JACKET.",,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Historiography.",,,,"Macleod, Jenny.",9780415647908 (pbk.) ; 9780714654621 (hbk.),"Cass series--military history and policy,1465-8488 ;no. 16",,
"O'Brien, Mary. ","Remarkable people :Rutherford Armstrong, Annie Wheeler, Ernest Beaman /Mary O'Brien, Mary Bevis.",,"Yeppoon [Qld.] :Capricorn Coast Historical Society,2008.","59 p. :ill., facsims., 1 geneal. table, 1 map, ports. ;30 cm.",Comb binding.,,,"Armstrong, Rutherford. ; --Wheeler, Annie Margaret,--1867-1950. ; --Beaman, Ernest.",Farnborough Sugar Plantation (Qld.)--History. ; --Yepppon Sugar Co. (Qld.)--History.,"Sugarcane industry--Queensland--Yeppoon Region--History. ; --Farm managers--Queensland--Yeppoon Region--Biography. ; --World War, 1914-1918--War work--Queensland--Yeppoon Region--Biography. ; --World War, 1939-1945--Civilian relief--Queensland--Yeppoon Region--Biography. ; --World War, 1914-1918--War work--England--London--Biography. ; --World War, 1939-1945--Civilian relief--England--London--Biography. ; --Physicians--Queensland--Yeppoon Region--Biography.",Queensland--Biography.,,,"Bevis, Mary. ; Capricorn Coast Historical Society.",,CCHS local histories ;no. 2,,
"Molkentin, Michael,author. ",Australia and the war in the air /Michael Molkentin.,,"South Melbourne, Vic. :Oxford University Press,2014. ; ©2014","x, 284 pages :black & white illustrations, maps ;25 cm.",,,,,Australia.--Army.--Australian Flying Corps.,"World War, 1914-1918--Aerial operations, Australian. ; --Aeronautics, Military--Australia--History.",,,,,9780195576795 (hardback),Centenary history of Australia and the Great War ;Volume 1,,
 ,Essays on World War I /edited by Peter Pastor and Graydon A. Tunstall.,,"Wayne, New Jersey :Center for Hungarian Studies and Publications, Inc.,2012.","viii, 188 pages :map ;22 cm.",,"The Carpathian Winter Campaign of 1915 / Graydon A. Tunstall -- German Military Operations on the Eastern Front in 1915 / Richard L. DiNardo -- Tactical Wireless in The British Expeditionary Forces / Laurence A. Lyons -- German Air Operations on the Eastern Front, 1914--1917 / Richard L. DiNardo -- The Brusilov Offensive / Timothy C. Dowling -- Hungarian Prisoners of War in Siberia / Peter Pastor -- Hasek, Svejk and the Czechoslovak Legion / Kees Boterbloem -- The Collapse of the Austro-Hungarian Army in 1918 / Graydon A. Tunstall.",,,,"World War, 1914-1918--Europe, Eastern.",,,,"Pastor, Peter. ; Tunstall, Graydon A.(Graydon Allen)",0880336862 ; 9780880336864,CHSP Hungarian studies series ;no. 26 ; East European monographs ;no. DCCLXXXIII ; Social Science Monographs,,
"Pemberton, T. J. ",Gallipoli to-day /by T. J. Pemberton ; with an introduction by Sir Ian Hamilton,,"London :Ernest Benn,1926",115 p. :ill. ;23 cm.,'This edition is for sale only in the Dominions and Colonies...'.,,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula",Gallipoli Peninsula (Turkey)--Description and travel,,,"Hamilton, Ian Standish Monteith,Sir,1853-1947",,Colonial library,,
