RECORD #(BIBLIO),RECORD URL,XML,NAME,TITLE,DATES/PUBLICATION DETAILS,DESCRIPTION/QUANTITY,SUMMARY,SUBJECT,SERIES/COLLECTION,IMAGE
b20263247,http://www.catalog.slsa.sa.gov.au/record=b2026324,http://www.catalog.slsa.sa.gov.au/xrecord=b2026324,,"Gala Day, Kadina",1915,Photograph  21.7 cm x 13.3 cm,"Red Cross Appeal Gala Day at Kadina Showgrounds, 24 July 1915.","Australian Red Cross Society. South Australian Division;World War, 1914-1918 -- South Australia -- Kadina",Kadina Collection,http://collections.slsa.sa.gov.au/mpcimg/28750/B28700.htm
b20271712,http://www.catalog.slsa.sa.gov.au/record=b2027171,http://www.catalog.slsa.sa.gov.au/xrecord=b2027171,,"Military Ambulance, Keswick",1915,Photograph  20.7 cm x 13.8 cm,Army T-model Ford Ambulance.,"World War, 1914-1918 -- South Australia -- Keswick;Ford Model T automobile;Ambulances -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/34750/B34606.htm
b20271773,http://www.catalog.slsa.sa.gov.au/record=b2027177,http://www.catalog.slsa.sa.gov.au/xrecord=b2027177,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  16.4 cm x 21.5 cm;C1,Keswick no 7   Australian General Hospital views.,"Military hospitals -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43333.htm
b20271785,http://www.catalog.slsa.sa.gov.au/record=b2027178,http://www.catalog.slsa.sa.gov.au/xrecord=b2027178,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  16.4 cm x 21.5 cm;C1,No. 7 Australian General Hospital - views of Dr. F.H. Beare and friends.,"Beare, Frank Howard, 1895-1955;Military hospitals -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43334.htm
b20271797,http://www.catalog.slsa.sa.gov.au/record=b2027179,http://www.catalog.slsa.sa.gov.au/xrecord=b2027179,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  16.4 cm x 21.5 cm;C1,No. 7 Australian General Hospital views.,"Military hospitals -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43335.htm
b20271803,http://www.catalog.slsa.sa.gov.au/record=b2027180,http://www.catalog.slsa.sa.gov.au/xrecord=b2027180,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  16.5 cm x 21.5 cm;C1,"No. 7 Australian General Hospital views, of the Dispensary and Malvern Ward.","World War, 1914-1918 -- Hospitals -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43336.htm
b20271815,http://www.catalog.slsa.sa.gov.au/record=b2027181,http://www.catalog.slsa.sa.gov.au/xrecord=b2027181,,"General Hospital, Keswick",[approximately 1916],Photograph (b&w print)  16.4 cm x 21.5 cm;C1,No. 7 Australian General Hospital views December 1916.,"Military hospitals -- South Australia -- Keswick;Dispensaries -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43337.htm
b20271827,http://www.catalog.slsa.sa.gov.au/record=b2027182,http://www.catalog.slsa.sa.gov.au/xrecord=b2027182,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  12.5 cm x 21.5 cm;C1,No. 7 Australian General Hospital.,"World War, 1914-1918 -- Hospitals -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43338.htm
b20271839,http://www.catalog.slsa.sa.gov.au/record=b2027183,http://www.catalog.slsa.sa.gov.au/xrecord=b2027183,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  16.4 cm x 21 cm;C1,No. 7 Australian General Hospital - The Dispensary.,"Military hospitals -- South Australia -- Keswick;Dispensaries -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43339.htm
b20271840,http://www.catalog.slsa.sa.gov.au/record=b2027184,http://www.catalog.slsa.sa.gov.au/xrecord=b2027184,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  16.5 cm x 19.2 cm;C1,"No. 7 Australian General Hospital - The Entrance, Operating Theatre & X-ray Theatre, Dispensary and Surgical, Medical Wards.","Military hospitals -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43340.htm
b20271852,http://www.catalog.slsa.sa.gov.au/record=b2027185,http://www.catalog.slsa.sa.gov.au/xrecord=b2027185,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  16.4 cm x 19.5 cm;C1,No. 7 Australian General Hospital - Sleeping quarters of the staff at the Hospital.,"Military hospitals -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43341.htm
b20271864,http://www.catalog.slsa.sa.gov.au/record=b2027186,http://www.catalog.slsa.sa.gov.au/xrecord=b2027186,,General Hospital,[approximately 1915],Photograph (b&w print)  21.5 cm x 15.5 cm;C1,No. 7 Australian General Hospital - Red Cross Motor Transport Storerooms and the Ambulance.,"Military hospitals -- South Australia -- Keswick;Ambulances -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43342.htm
b20271876,http://www.catalog.slsa.sa.gov.au/record=b2027187,http://www.catalog.slsa.sa.gov.au/xrecord=b2027187,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  16.5 cm x 18.7 cm;C1,"No. 7 Australian General Hospital views, including the Governor General's visit.","Nurses -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43343.htm
b2027189x,http://www.catalog.slsa.sa.gov.au/record=b2027189,http://www.catalog.slsa.sa.gov.au/xrecord=b2027189,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  16.5 cm x 19.8 cm;C1,No. 7 Australian General Hospital - Views of the Nurses and Sisters at the Hospital.,"Military hospitals -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick;Nurses -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43345.htm
b20271906,http://www.catalog.slsa.sa.gov.au/record=b2027190,http://www.catalog.slsa.sa.gov.au/xrecord=b2027190,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  21.5 cm x 12 cm;C1,No. 7 Australian General Hospital after a severe hail storm.,"Soldiers -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43346.htm
b2027192x,http://www.catalog.slsa.sa.gov.au/record=b2027192,http://www.catalog.slsa.sa.gov.au/xrecord=b2027192,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  21.5 cm x 12.3 cm;C1,No. 7 Australian General Hospital grounds after a severe hailstorm.,"Military hospitals -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43348.htm
b20271931,http://www.catalog.slsa.sa.gov.au/record=b2027193,http://www.catalog.slsa.sa.gov.au/xrecord=b2027193,,"General Hospital, Keswick",[approximately 1915],Photograph (b&w print)  21.5 cm x 12.3 cm;C1,"No. 7 Australian General Hospital - view of the Parade Grounds, and two patients with spinal injuries.","Military hospitals -- South Australia -- Keswick;Soldiers -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43349.htm
b20271943,http://www.catalog.slsa.sa.gov.au/record=b2027194,http://www.catalog.slsa.sa.gov.au/xrecord=b2027194,,"General Hospital, Keswick",1916,Photograph (b&w print)  16.5 cm x 17 cm;C1,No. 7 Australian General Hospital - various views of hospital staff.,"World War, 1914-1918 -- Hospitals -- South Australia -- Keswick;Military hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43350.htm
b20271955,http://www.catalog.slsa.sa.gov.au/record=b2027195,http://www.catalog.slsa.sa.gov.au/xrecord=b2027195,,"General Hospital, Keswick",1917,Photograph (b&w print)  16.5 cm x 19.7 cm;C1,No. 7 Australian General Hospital Staff members.,"Military hospitals -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43351.htm
b20271967,http://www.catalog.slsa.sa.gov.au/record=b2027196,http://www.catalog.slsa.sa.gov.au/xrecord=b2027196,,"General Hospital, Keswick",1916,Photograph (b&w print)  16.5 cm x 16 cm;C1,No. 7 Australian General Hospital - staff member.,"Military hospitals -- South Australia -- Keswick;World War, 1914-1918 -- Hospitals -- South Australia -- Keswick",Keswick Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43352.htm
b2027676x,http://www.catalog.slsa.sa.gov.au/record=b2027676,http://www.catalog.slsa.sa.gov.au/xrecord=b2027676,,"Conscription Day, Lameroo",1916,photograph,"Men lining up for the Conscription examination, October 1916.","Draft -- South Australia -- Lameroo;Australia. -- Armed Forces -- Recruiting, enlistment, etc. -- World War, 1914-1918",Lameroo Collection,http://collections.slsa.sa.gov.au/mpcimg/36250/B36165.htm
b20276771,http://www.catalog.slsa.sa.gov.au/record=b2027677,http://www.catalog.slsa.sa.gov.au/xrecord=b2027677,,"Conscription Day, Lameroo",1916,photograph,"Conscription Day examination, October 1916.","Draft -- South Australia -- Lameroo;Australia. -- Armed Forces -- Recruiting, enlistment, etc. -- World War, 1914-1918",Lameroo Collection,http://collections.slsa.sa.gov.au/mpcimg/36250/B36166.htm
b20282618,http://www.catalog.slsa.sa.gov.au/record=b2028261,http://www.catalog.slsa.sa.gov.au/xrecord=b2028261,,"Beehives, Lyndoch",[approximately 1916],Photograph  21.1 cm x 14.7cm,Mrs. Moore looking after honey production for World War I Soldiers.,"Moore, Mrs;Beehives -- South Australia -- Lyndoch;World War, 1914-1918 -- Food supply -- South Australia -- Lyndoch;Bee culture -- South Australia -- Lyndoch",Lyndoch Collection,http://collections.slsa.sa.gov.au/mpcimg/32000/B31999.htm
b20283349,http://www.catalog.slsa.sa.gov.au/record=b2028334,http://www.catalog.slsa.sa.gov.au/xrecord=b2028334,,"Badge sales, Macclesfield",[approximately 1914],Photograph,"Women selling badges during World War I l-r: Ida Dugmore, Bessie Duance, Vi Ross.","Dugmore, Ida;Duance, Bessie;Ross, Vi;Women -- South Australia -- Macclesfield;World War, 1914-1918 -- War Work -- South Australia -- Macclesfield",Macclesfield Collection,http://collections.slsa.sa.gov.au/mpcimg/37000/B36806.htm
b20296617,http://www.catalog.slsa.sa.gov.au/record=b2029661,http://www.catalog.slsa.sa.gov.au/xrecord=b2029661,"Edwards & Errington, photographer",Light Horse at Mitcham,[approximately 1916],Photograph  20.5 cm x 15.5 cm;RESERVE 1 b,"Group of No. 1 Light Horse, N.C.O. School, Mitcham.","Australia. Army. Australian Light Horse, No. 1;Soldiers -- South Australia -- Mitcham;World War, 1914-1918 -- South Australia -- Mitcham",Mitcham Collection,http://collections.slsa.sa.gov.au/mpcimg/23250/B23142.htm
b20297592,http://www.catalog.slsa.sa.gov.au/record=b2029759,http://www.catalog.slsa.sa.gov.au/xrecord=b2029759,,Recruits at Mitcham,1916,Photograph,"Recruits in the first A.I.F. at Mitcham in the area where the Daws Road High School was erected (named Pasadena High School from 2001). Several of the men are from the Kingston district in the South East of South Australia. Information supplied by a researcher : Second from left: Sydney Arthur Pinches, Service no. 3182  third from left John Charles (Charlie) Smith, service no. 2593  ninth from left Alexander Robert (Bob) Smith, Service no. 2592. All three were from Kingston, South East. Charlie and Bob were first cousins, but served together as brothers (note their sequential service numbers). All three went into Light Horse and served in Egypt and the Middle East.  Bob and Charlie transferred to the Imperial Camel Corps.","Australia. Army. -- Recruiting, enlistment, etc.;Soldiers -- South Australia -- Mitcham;Australia. -- Armed Forces -- Recruiting, enlistment, etc. -- World War, 1914-1918",Mitcham Collection,http://collections.slsa.sa.gov.au/mpcimg/42000/B41848.htm
b20301078,http://www.catalog.slsa.sa.gov.au/record=b2030107,http://www.catalog.slsa.sa.gov.au/xrecord=b2030107,,Prisoner of War Camp,[approximately 1914],Photograph (b&w print)  8.9 cm x 13.9 cm;C1,"Prisoner of War Camp-World War I, located near Monash.","Prisoners of war -- South Australia -- Monash;World War, 1914-1918 -- South Australia -- Monash",Monash Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43398.htm
b2030108x,http://www.catalog.slsa.sa.gov.au/record=b2030108,http://www.catalog.slsa.sa.gov.au/xrecord=b2030108,,Prisoner of War Camp,[approximately 1914],Photograph (b&w print)  8.9 cm x 13.9 cm;C1,"Prisoner of War Camp, located near Monash.","Prisoners of war -- South Australia -- Monash;World War, 1914-1918 -- South Australia -- Monash",Monash Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43399.htm
b20301091,http://www.catalog.slsa.sa.gov.au/record=b2030109,http://www.catalog.slsa.sa.gov.au/xrecord=b2030109,,Prisoner of War Camp,[approximately 1914],Photograph (b&w print)  8.9 cm x 13.9 cm;C1,"Army camp-steam engine used for power. at a prisoner of war camp, located near Loveday.","World War, 1914-1918 -- South Australia -- Loveday;Engines -- South Australia -- Monash",Monash Collection,http://collections.slsa.sa.gov.au/mpcimg/43500/B43400.htm
b20305618,http://www.catalog.slsa.sa.gov.au/record=b2030561,http://www.catalog.slsa.sa.gov.au/xrecord=b2030561,,Peace procession at Moonta,1918,Photograph (b&w print)  20.3 cm x 25.3 cm;C1,Peace procession at Moonta.,"World War, 1914-1918 -- Peace;Processions -- South Australia -- Moonta",Moonta Collection,http://collections.slsa.sa.gov.au/mpcimg/46000/B45891.htm
b20307810,http://www.catalog.slsa.sa.gov.au/record=b2030781,http://www.catalog.slsa.sa.gov.au/xrecord=b2030781,,"Recruits, Morphettville",1914,Photograph,"First men from Broken Hill to enlist, they became the original 10th Battalion, 1st A.I.F. (On Hawker's land).","Australia. Army. Australian Imperial Force (1914-1921) -- Recruiting, enlistment, etc. -- World War, 1914-1918;Recruiting and enlistment -- South Australia -- Morphettville",Morphettville Collection,http://collections.slsa.sa.gov.au/mpcimg/37250/B37013.htm
b20314413,http://www.catalog.slsa.sa.gov.au/record=b2031441,http://www.catalog.slsa.sa.gov.au/xrecord=b2031441,,"Senior Cadets, Mt.Gambier",[approximately 1914],Photograph  13.7 cm x 8.9 cm,"Senior Army cadets, Mount Gambier. Standing: Jack Nash. Sitting: Tom Ryan, Alf Turnbull.","Turnbull, Alf;Ryan, Tom;Nash, Jack;Military uniforms;Soldiers -- South Australia -- Mount Gambier;World War, 1914-1918 -- South Australia",Mount Gambier Collection;Portrait Collection,http://collections.slsa.sa.gov.au/mpcimg/19250/B19200_41.htm
b2031937x,http://www.catalog.slsa.sa.gov.au/record=b2031937,http://www.catalog.slsa.sa.gov.au/xrecord=b2031937,,Fancy Dress Social,1916,photograph & neg,Mount Gambier Fancy Dress Social - World War I fund raiser.,"Costume -- South Australia -- Mount Gambier;World War, 1914-1918 -- South Australia -- Mount Gambier",Mount Gambier Collection,http://collections.slsa.sa.gov.au/mpcimg/40000/B39802.htm
b20345847,http://www.catalog.slsa.sa.gov.au/record=b2034584,http://www.catalog.slsa.sa.gov.au/xrecord=b2034584,,"Roll of Honour, Oodnadatta",[approximately 1918],photograph   6 x 8,The Oodnadatta District's roll of honour for the 1914-18 War.,"Memorials -- South Australia -- Oodnadatta;World War, 1914-1918 -- Registers of dead -- South Australia -- Oodnadatta",Oodnadatta Collection,http://collections.slsa.sa.gov.au/mpcimg/53500/B53457.htm
b20355579,http://www.catalog.slsa.sa.gov.au/record=b2035557,http://www.catalog.slsa.sa.gov.au/xrecord=b2035557,"Smith, D. Darian, 1900-1984, photographer","Cheer-Up Hut, Peterborough",1919,Photograph (b&w print)  15.6 cm x 25 cm;RESERVE 1,"The Cheer Up Hut, with extensions funded by the local community.","Cheer Up Hut (Peterborough, S.A.);World War, 1914-1918 -- War Work -- South Australia -- Peterborough",Peterborough Collection,http://collections.slsa.sa.gov.au/mpcimg/46500/B46458.htm
b20360575,http://www.catalog.slsa.sa.gov.au/record=b2036057,http://www.catalog.slsa.sa.gov.au/xrecord=b2036057,,Celebrationary Peace March,1918,Photograph (b&w print)  10.3 cm x 13.2 cm;C1,Celebrationary peace march at Point Pass.,"World War, 1914-1918 -- Peace;Processions -- South Australia -- Point Pass",Point Pass Collection,http://collections.slsa.sa.gov.au/mpcimg/46750/B46701.htm
b20370921,http://www.catalog.slsa.sa.gov.au/record=b2037092,http://www.catalog.slsa.sa.gov.au/xrecord=b2037092,,Hussey's Charabancs,1916 July 28,Photograph  21.6 cm x 15.8 cm,Mr. G. Hussey and his charabanc decorated as a Red Cross ambulance participating in the Port Elliot Australia Day procession.,"Australian Red Cross Society. South Australian Division;World War, 1914-1918 -- South Australia -- Port Elliot;Nurses -- South Australia -- Port Elliot;Ambulances -- South Australia -- Port Elliot",Port Elliot Collection,http://collections.slsa.sa.gov.au/mpcimg/16000/B15863.htm
b20371196,http://www.catalog.slsa.sa.gov.au/record=b2037119,http://www.catalog.slsa.sa.gov.au/xrecord=b2037119,,"Cheer-up Society Procession at Dodd's Corner, Port Elliot",[approximately 1916],Photograph  21 cm x 16 cm,"Cheer-up Society procession during the 1914-18 War at Dodd's Corner, The Strand, Port Elliot.","Cheer-Up Society (S.A.);World War, 1914-1918 -- War work -- South Australia -- Port Elliot;Processions -- South Australia -- Port Elliot",Port Elliot Collection,http://collections.slsa.sa.gov.au/mpcimg/19000/B18973.htm
b2038077x,http://www.catalog.slsa.sa.gov.au/record=b2038077,http://www.catalog.slsa.sa.gov.au/xrecord=b2038077,,"Troopship, Port Adelaide","1915, May",Photograph (b&w print)   8.7 cm x 13.8 cm;RESERVE 1,HMAT Geelong before departure from Port Adelaide.,"World War, 1914-1918 -- South Australia -- Port Adelaide;Soldiers -- South Australia -- Port Adelaide",Port Adelaide Collection,http://collections.slsa.sa.gov.au/mpcimg/42000/B41850.htm
b20386552,http://www.catalog.slsa.sa.gov.au/record=b2038655,http://www.catalog.slsa.sa.gov.au/xrecord=b2038655,"Ball, A., photographer","Vessels, Port Pirie",[approximately 1914],Photograph  21 cm x 16 cm,Camouflaged vessels during World War 1.,"World War, 1914-1918 -- South Australia -- Port Pirie;Camouflage (Military science) -- South Australia -- Port Pirie",Port Pirie Collection,http://collections.slsa.sa.gov.au/mpcimg/16750/B16579.htm
b20386564,http://www.catalog.slsa.sa.gov.au/record=b2038656,http://www.catalog.slsa.sa.gov.au/xrecord=b2038656,"Ball, A., photographer","Vessels, Port Pirie",[approximately 1914],Photograph  21 cm x 16 cm,Camouflaged vessel during World War 1.,"Camouflage (Military science) -- South Australia -- Port Pirie;World War, 1914-1918 -- South Australia -- Port Pirie",Port Pirie Collection,http://collections.slsa.sa.gov.au/mpcimg/16750/B16580.htm
b20394056,http://www.catalog.slsa.sa.gov.au/record=b2039405,http://www.catalog.slsa.sa.gov.au/xrecord=b2039405,,"Armistice Day, Rendelsham",1918,Photograph,A distant view of a celebration procession of children and adults on Armistice Day at Rendelsham.,"Processions -- South Australia -- Rendelsham;World War, 1914-1918 -- Peace;Armistice Day",Rendelsham Collection,http://collections.slsa.sa.gov.au/mpcimg/38750/B38564.htm
b20394123,http://www.catalog.slsa.sa.gov.au/record=b2039412,http://www.catalog.slsa.sa.gov.au/xrecord=b2039412,,Knitting for soldiers at Rendelsham,1918,1 photograph : black and white;still image sti rdacontent;unmediated n rdamedia;sheet nb rdacarrier,"A group of women knitting for soldiers at Rendelsham on 6 June 1918. Front, left to right: Ivy Poole, Hilda Nilsson, Ester Carthew, Mrs Guerin. Back, Misses Ivy Andrews, Nellie Carthew and Mrs A.B. Schulz.","Women -- South Australia -- Rendelsham;World war, 1914-1918 -- Women -- South Australia",Rendelsham Collection,http://collections.slsa.sa.gov.au/mpcimg/38750/B38571.htm
b20419028,http://www.catalog.slsa.sa.gov.au/record=b2041902,http://www.catalog.slsa.sa.gov.au/xrecord=b2041902,,Swan Reach Procession,[approximately 1914],photograph,Swan Reach Procession during the war.,"Parades -- South Australia -- Swan Reach;World War, 1914-1918 -- South Australia -- Swan Reach",Swan Reach Collection,http://collections.slsa.sa.gov.au/mpcimg/22250/B22030.htm
b20421163,http://www.catalog.slsa.sa.gov.au/record=b2042116,http://www.catalog.slsa.sa.gov.au/xrecord=b2042116,,Float at Swan Reach,[approximately 1915],Photograph  20.1 cm x 12.6 cm,A float during a 1914-18 War procession at Swan Reach.,"Parade floats -- South Australia -- Swan Reach;World War, 1914-1918 -- South Australia -- Swan Reach",Swan Reach Collection,http://collections.slsa.sa.gov.au/mpcimg/33000/B32769.htm
