id,TITLE,PUBL/DATES,DESCRIPT.,HISTORY,SUBJECT,SOURCE,ARTICLE URL
b22093710,[Sergeant Percy Oliver Gunn],1918,reference in newspaper;portrait (14 September),"Sergeant, service number 816, 2nd Machine Gun Battalion  from Adelaide  died of wounds 9 August 1918, France, aged 29 years and 1 month  youngest son, brother of Mrs A.E. Moller and Mrs A.R. Wenzel.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Gunn, Percy Oliver, 1889-1918;World War, 1914-1918 -- South Australia","Chronicle, 31 August 1918, p. 27, col. c  p. 39, col. a;Chronicle, 7 September 1918, p. 39, col. b;Chronicle, 14 September 1918, p. 24, col. e",http://nla.gov.au/nla.news-article87552093;http://nla.gov.au/nla.news-article87552132;http://nla.gov.au/nla.news-article87550246;http://nla.gov.au/nla.news-article87553854
b22108245,[Private B. C. Dawe],1918,reference in newspaper;portrait,"Private  from Port Adelaide  killed in action 11 August 1918  married.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Dawe, Bertie Chloride, 1887-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 24, col. e  p. 38, col. c",http://nla.gov.au/nla.news-article87553854;http://nla.gov.au/nla.news-article87553882
b22114658,[Driver Arthur Cooper],1918,reference in newspaper;portrait (page 24),"Driver, service number 6729  killed in action 22 August 1918, France  sixth son of W.S. and M.M. Cooper.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Cooper, Arthur, 1896-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 24, col. e  p. 27, col. c  p. 38, col. c",http://nla.gov.au/nla.news-article87553854;http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87553882
b2211466x,[Corporal George L. Grinter],1918,"reference in newspaper;portrait (14 September, p. 24)","Corporal, 43rd Battalion, service number 71  from Bowden  killed in action 23 August 1918, France  aged 20  son of Staff Sergeant-Major and Mrs Grinter, brother of Ethel, Stan and Ben.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Grinter, George Leslie, 1898-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 24, col. f  p. 27, col. c;Chronicle, 28 September 1918, p. 38, col. e;Chronicle, 19 October 1918, p. 37, col. d",http://nla.gov.au/nla.news-article87553854;http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87550065;http://nla.gov.au/nla.news-article87549744
b22114683,[Private William Taylor],1918,"reference in newspaper;portrait (14 September, p. 24)","Private, 13th Field Ambulance  from Clare  killed in action 8 August 1918, France, aged 21  eldest son of Mr and Mrs W. I. Taylor.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Taylor, William Gordon, 1896-1918;World War, 1914-1918 -- South Australia","Chronicle, 31 August 1918, p. 27, col. c;Chronicle, 14 September 1918, p. 24, col. f  p. 38, col. d",http://nla.gov.au/nla.news-article87552093;http://nla.gov.au/nla.news-article87553854;http://nla.gov.au/nla.news-article87553882
b22122990,[Private Sydney Oldfield],1918,reference in newspaper;portrait (page 24),"Private, 10th Battalion  from Milang  killed in action 10 August 1918, France  son of Mrs R. Oldfield, brother of the late Sergeant E. Oldfield who was killed in the battle of the Somme, 1916.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Oldfield, Sydney Herbert, 1883-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 24, col. f  p. 38, col. d",http://nla.gov.au/nla.news-article87553854;http://nla.gov.au/nla.news-article87553882
b22132776,[Private A. G. Chatfield],1918,"reference in newspaper;portrait (31 August, p. 27)","Private, 9th Reinforcements, 10th Battalion, AIF  from Eastwood  killed in action 1 August 1918, aged 34  husband of Edith (nee Kearns), father of Arthur and Ruth, son of Mr and Mrs F. Chatfield.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Chatfield, Alfred George, 1884-1918;World War, 1914-1918 -- South Australia","Chronicle, 31 August 1918, p. 27, col. c, d  p. 39, col. a;Chronicle, 14 September 1918, p. 24, col. g",http://nla.gov.au/nla.news-article87552093;http://nla.gov.au/nla.news-article87552132;http://nla.gov.au/nla.news-article87553854
b22201427,[Sergeant Wilfred Chinner],1918,reference in newspaper;portrait (28 September),"Sergeant, 10th Battalion, service number 3469B  MM  from Brighton  killed in action 10 August 1918, France  only son of Mr A.R. Chinner.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Chinner, Wilfred Prior, 1896-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 38, col. c;Chronicle, 28 September 1918, p. 26, col. g;Chronicle, 19 October, 1918, p. 37, col. d",http://nla.gov.au/nla.news-article87553882;http://nla.gov.au/nla.news-article87550024;http://nla.gov.au/nla.news-article87549744
b22201452,[Private Thomas Ellis],1918,reference in newspaper;portrait (28 September),"Private, service number 4484, 10th Battalion  of Stepney  killed in action 11 August 1918, France  son of Mr and Mrs W. Ellis, brother of Frank.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Ellis, Thomas George, 1884-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. c  p. 38, col. c;Chronicle, 28 September 1918, p. 26, col. d",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87553882;http://nla.gov.au/nla.news-article87550024
b2220149x,[Private Roy Long],1918,reference in newspaper;portrait (5 October),"Private, 10th Battalion  from Carey's Gully  killed in action 11 August 1918, overseas  second son of Mr and Mrs W. Long  brother of Private C.H. Long.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Long, Roy William, 1898-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p.38, col. c;Chronicle, 5 October 1918, p. 26, col. b",http://nla.gov.au/nla.news-article87553882;http://nla.gov.au/nla.news-article87551482
b22201609,[Private James E. Regan],1918,reference in newspaper;portrait (19 October),"Private  from Brighton  killed in action 10 August 1918, France  youngest son of Mrs Ellen Regan.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Regan, James Edwin, 1898-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 38, col. d;Chronicle, 19 October 1918, p. 26, col. c",http://nla.gov.au/nla.news-article87553882;http://nla.gov.au/nla.news-article87549896
b22201658,[Sergeant L. L. Rundle],1918,reference in newspaper;portrait (19 October),"Sergeant  from Kulpara  died of wounds 23 August 1918, Birmingham, aged 26  farmer  third son.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Rundle, Leonard Lancelot, 1893-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 38, col. d;Chronicle, 19 October 1918, p. 26, col. b",http://nla.gov.au/nla.news-article87553882;http://nla.gov.au/nla.news-article87549896
b22201804,[Private Harold Farnham],1918,"reference in newspaper;portrait (19 October, p. 26)","Private, 50th Battalion  killed in action 18 August 1918, France, aged 26  brother of Walter Farnham, Mrs E. O. Brown and Mrs Ayliffe, son of Mrs Scott, stepson of Mr Scott.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Farnham, Harold, 1892-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col c;Chronicle, 21 September 1918, p. 27, col. e;Chronicle, 28 September 1918, p. 27, col. c;Chronicle, 19 October 1918, p. 26, col. g  p. 27, col. d  p. 38, col. a",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87555964;http://nla.gov.au/nla.news-page8611471;http://nla.gov.au/nla.news-article87549896;http://nla.gov.au/nla.news-page8611615;http://nla.gov.au/nla.news-article87549746
b22201816,[Private Charles Tiver],1918,"reference in newspaper;portrait (5 October, p. 26)","Private, 11th Machine Gun Company  from Burra  died of wounds 22 August 1918, France, aged 22 years and 11 months  university student  second son of Mr and Mrs Charles G. Tiver.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Tiver, Charles Price, 1895-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. c;Chronicle, 5 October 1918, p. 26, col. d  p. 39, col. d",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87551482;http://nla.gov.au/nla.news-article87551519
b22201853,[Private Fred Mason],1918,"reference in newspaper;portrait (31 August, p. 26)","Private, 5th Pioneer Battalion (5th Pioneers)  from Adelaide  died of meningitis 11 August 1918, England, aged 22  son of the late Mr and Mrs George L. Mason, brother of Mrs Agnes Jameson, Mr G.R. Mason and Mrs Amy Sneath of Robe.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Mason, Fred Rupert, 1895-1918;World War, 1914-1918 -- South Australia","Chronicle, 24 August 1918, p. 27, col. c;Chronicle, 31 August 1918, p. 26, col. e  p. 27, col. c, d  p. 39, col. b;Chronicle, 14 September 1918, p. 27, col. c;Chronicle, 30 November 1918, p. 38, col. e",http://nla.gov.au/nla.news-page8611231;http://nla.gov.au/nla.news-article87552071;http://nla.gov.au/nla.news-article87552093;http://nla.gov.au/nla.news-article87552132;http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87554561
b22201877,[Lance-Corporal Hughie Bawden],1918,reference in newspaper;portrait (26 October),"Gunner 10th Battalion, seervice number 5969  from Sandilands  killed in action 10 August 1918, France  eldest son of Mr H. Bawden.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Bawden, Hugh, 1894-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. c;Chronicle, 19 October 1918, p. 37, col. d;Chronicle, 26 October 1918, p. 26, col. c",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87549744;http://nla.gov.au/nla.news-article87555593
b22201932,[Private Cyril Neilson],1918,"reference in newspaper;portrait (28 September, page 26)","Private, service number 3600, 32nd Battalion  from Rainbow, Victoria  killed in action 30 July 1918, France, farmer at Pekina  eldest son of Mrs Rose Twining, stepson of Mr J. Twining.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Neilson, Cyril Cameron Arthur, 1897-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. c, d, e;Chronicle, 28 September 1918, p. 26, col. d  p. 39, col. b",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87550024;http://nla.gov.au/nla.news-page8611483
b22201944,[Private A. E. Shiell],1918,"reference in newspaper;portrait (12 October, p. 25)","Private, service number 2127, 49th Battalion  from Port Adelaide  killed in action 11 August 1918, France.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Shiell, Albert Ernest, 1890-1959;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. c;Chronicle, 12 October 1918, p. 25, col. g  p. 39, col. b",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87552667;http://nla.gov.au/nla.news-article87552685
b2220202x,[Lance-Corporal Bert Freeman],1918,"reference in newspaper;portrait (28 September, p. 26)","Lance-Corporal, 10th Battalion  from Goodwood  killed in action 10 August 1918, France  son of Mrs A. Freeman, brother of Florrie and Sylvia.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Freeman, Bert Isaac Kintore, 1890-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. c;Chronicle, 21 September 1918, p. 27, col. c;Chronicle, 28 September 1918, p. 26, col. e  p. 38, col. e",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87555964;http://nla.gov.au/nla.news-article87550024;http://nla.gov.au/nla.news-article87550065
b22202080,[Private C. W. Allmond],1918,reference in newspaper;portrait (28 September),"Private, No. 1 Company, Camel Corps  from Cherryville  died of Malaria, 4 September 1918, Egypt, aged 25  second son of W.H. and A.E. Allmond, brother of the late Private L.C. Allmond.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Allmond, Christopher William, 1893-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. d;Chronicle, 28 September 1918, p. 26, col. a;Chronicle, 12 October 1918, p. 39, col. c",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87550024;http://nla.gov.au/nla.news-article87552677
b22202092,[Signaller Minter Curwood Farmer],1918,"reference in newspaper;portrait (28 September, p. 26)","Signaller, 43rd Battalion  from Goodwood  died of wounds 25 August 1918, aged 30  husband of Annie, brother of Sydney A. Farmer, son of the late Mr and Mrs T.A. Farmer.;Heroes of the Great War Indexing Project - over 30,000 newspaper references to notices published in the South Australian newspaper 'The Chronicle' between 1915 and 1919 under various headings including 'Heroes of the Great War', 'Heroes of the Empire', 'Died on Active Service' and 'Biographical'. The notices were placed by relatives and friends of approximately 10,000 World War I service personnel who died, or were wounded, or were decorated. Some newspaper printing errors have been corrected using official sources.","Farmer, Minter Curwood, 1888-1918;World War, 1914-1918 -- South Australia","Chronicle, 14 September 1918, p. 27, col. d;Chronicle, 28 September 1918, p. 26, col. g  p. 38, col. e",http://nla.gov.au/nla.news-page8611375;http://nla.gov.au/nla.news-article87550024;http://nla.gov.au/nla.news-article87550065
