rank,name,url
,William A. Stirling,http://hdl.handle.net/10462/deriv/465094
Sergeant, Cyril Donkin,http://hdl.handle.net/10462/deriv/465095
,Norman M. P. Mowat,http://hdl.handle.net/10462/deriv/465096
,Tom W.W. Mowat,http://hdl.handle.net/10462/deriv/465097
,Will D. F. Mowat,http://hdl.handle.net/10462/deriv/465098
Sergeant, Cedric A. Bell,http://hdl.handle.net/10462/deriv/465099
Private, H.C. Bryan,http://hdl.handle.net/10462/deriv/465100
Gunner, W.H. Bryan,http://hdl.handle.net/10462/deriv/465101
Private, F.C. Ellis,http://hdl.handle.net/10462/deriv/465102
Lieutenant, Cyril O. Thompson,http://hdl.handle.net/10462/deriv/465103
,Nugent E. Abell,http://hdl.handle.net/10462/deriv/465104
Lieutenant, Vivian S. Cooper,http://hdl.handle.net/10462/deriv/465105
Private, W.G. Coxon,http://hdl.handle.net/10462/deriv/465106
Private, A.P. Frankel,http://hdl.handle.net/10462/deriv/465015
Corporal, J.G. Phillips,http://hdl.handle.net/10462/deriv/465016
,Frank G. Parkinson,http://hdl.handle.net/10462/deriv/465017
Lieutenant, V.T.S. Warry,http://hdl.handle.net/10462/deriv/465018
Private, Harold Bardwell,http://hdl.handle.net/10462/deriv/465019
,Edgar Baynes,http://hdl.handle.net/10462/deriv/465020
,Dr. M.J. Gallagher,http://hdl.handle.net/10462/deriv/465021
Lieutenant, R.H. Monteith,http://hdl.handle.net/10462/deriv/465022
,Len B. Woolcock,http://hdl.handle.net/10462/deriv/465023
Private, C.L. Hallett,http://hdl.handle.net/10462/deriv/465024
Lieutenant,2nd  F.W. MacGibbon,http://hdl.handle.net/10462/deriv/465025
Corporal, D. Eric Mactaggart,http://hdl.handle.net/10462/deriv/465026
,Robert S. McNab,http://hdl.handle.net/10462/deriv/465027
Private, C.S. Mitchell,http://hdl.handle.net/10462/deriv/465028
,B.K. Twamley,http://hdl.handle.net/10462/deriv/465029
Lieutenant, Sydney E. Perkins,http://hdl.handle.net/10462/deriv/465030
Sergeant, Herbert A. Perkins,http://hdl.handle.net/10462/deriv/465031
,W.V. Langworthy,http://hdl.handle.net/10462/deriv/465032
Private, Harold Hodge,http://hdl.handle.net/10462/deriv/465033
Private, Jack Hodge,http://hdl.handle.net/10462/deriv/465034
,Roy MacDonald,http://hdl.handle.net/10462/deriv/465035
,Ronald R. Rivett,http://hdl.handle.net/10462/deriv/465036
Private, J.H. Hart,http://hdl.handle.net/10462/deriv/465037
,Charles Raymond Croker,http://hdl.handle.net/10462/deriv/465038
Corporal,Lance- Russell Love,http://hdl.handle.net/10462/deriv/465042
,S.H. Mackenzie,http://hdl.handle.net/10462/deriv/465043
,R.B. Mackenzie,http://hdl.handle.net/10462/deriv/465044
Sapper, Gordon P. McAdam,http://hdl.handle.net/10462/deriv/465045
Trooper, W.L. Stirling,http://hdl.handle.net/10462/deriv/465046
,Edward Wilson Welch,http://hdl.handle.net/10462/deriv/465047
,Steve Wilson Welch,http://hdl.handle.net/10462/deriv/464958
,Thomas Norman Wilson,http://hdl.handle.net/10462/deriv/464959
Private, W.E. Woods,http://hdl.handle.net/10462/deriv/464960
Lieutenant, Leslie H. Gibbon,http://hdl.handle.net/10462/deriv/464961
,Jack Seabrook,http://hdl.handle.net/10462/deriv/464962
,C.F. Cole,http://hdl.handle.net/10462/deriv/464963
,C.G. Cole,http://hdl.handle.net/10462/deriv/464969
Lieutenant, Thomas Jack,http://hdl.handle.net/10462/deriv/464970
Private, W.J. Levingston,http://hdl.handle.net/10462/deriv/464940
Gunner, Albert Trail,http://hdl.handle.net/10462/deriv/464941
Private, Eric Trail,http://hdl.handle.net/10462/deriv/464942
Private, F.C. Caught,http://hdl.handle.net/10462/deriv/464943
Sergeant, James E. Neal,http://hdl.handle.net/10462/deriv/464944
,Percy Nicholson,http://hdl.handle.net/10462/deriv/464945
,Claude Watson,http://hdl.handle.net/10462/deriv/465107
,K.F. Burslem,http://hdl.handle.net/10462/deriv/465108
,Alan A. Comyns,http://hdl.handle.net/10462/deriv/465109
Corporal, Stewart Neil Gow,http://hdl.handle.net/10462/deriv/465110
Private, Albert Juster,http://hdl.handle.net/10462/deriv/465111
Sergeant, William Pearse,http://hdl.handle.net/10462/deriv/465112
Trooper, Oliver Pearse,http://hdl.handle.net/10462/deriv/465039
Sergeant, C.E. Pennefather Ryan,http://hdl.handle.net/10462/deriv/465040
Captain, R.A. Wakeford,http://hdl.handle.net/10462/deriv/465041
Corporal, L.E. Wickham,http://hdl.handle.net/10462/deriv/464964
Lieutenant, Wilfred M. Hall,http://hdl.handle.net/10462/deriv/464965
Private, Colin McWhinney,http://hdl.handle.net/10462/deriv/464966
Driver, H.C. Westergaard Nielsen,http://hdl.handle.net/10462/deriv/464967
Corporal, E.J. Westergaard Nielsen,http://hdl.handle.net/10462/deriv/465048
Private, H.H. Harvey,http://hdl.handle.net/10462/deriv/465049
,T.D. Watson,http://hdl.handle.net/10462/deriv/465050
Sergeant, Geoffrey N. Campbell,http://hdl.handle.net/10462/deriv/465051
,John R. Nixon Smith,http://hdl.handle.net/10462/deriv/465052
Lieutenant, R.J. DeN.. Peel,http://hdl.handle.net/10462/deriv/465053
Lieutenant, H.N. Knowles,http://hdl.handle.net/10462/deriv/465059
,Thos. Cobb,http://hdl.handle.net/10462/deriv/464946
Driver, C.E. Longwill,http://hdl.handle.net/10462/deriv/464947
,W.M. Longwill,http://hdl.handle.net/10462/deriv/464948
,Percy W. Collins,http://hdl.handle.net/10462/deriv/464949
,George A. Evans,http://hdl.handle.net/10462/deriv/464968
,J.A. Evans,http://hdl.handle.net/10462/deriv/464971
,Sydney A. Kennedy,http://hdl.handle.net/10462/deriv/464972
,Rupert K. Knight,http://hdl.handle.net/10462/deriv/464973
Lieutenant,2nd  A.H. Davey,http://hdl.handle.net/10462/deriv/464974
Private, Norman Fuhrman,http://hdl.handle.net/10462/deriv/464975
Gunner, Claude T. Drane,http://hdl.handle.net/10462/deriv/464976
Lieutenant, Colin C. Drane,http://hdl.handle.net/10462/deriv/464977
Private, Ivan W. Drane,http://hdl.handle.net/10462/deriv/464978
,Martin Broderick,http://hdl.handle.net/10462/deriv/464979
,Cyril N. Davies,http://hdl.handle.net/10462/deriv/464889
,T. Jewell,http://hdl.handle.net/10462/deriv/464890
Private, F.B. Lucas,http://hdl.handle.net/10462/deriv/464891
Sergeant, A.W. Butcher,http://hdl.handle.net/10462/deriv/464892
,A.H. Ross,http://hdl.handle.net/10462/deriv/464893
Gunner, Douglas Watson,http://hdl.handle.net/10462/deriv/464894
,Donald Odo H. Hopkins,http://hdl.handle.net/10462/deriv/464895
,Leslie Woods,http://hdl.handle.net/10462/deriv/464896
,Harold F. Wylde-Ball,http://hdl.handle.net/10462/deriv/464950
,Leslie Wylde-Ball,http://hdl.handle.net/10462/deriv/464951
Driver, Edmund O'Sullivan,http://hdl.handle.net/10462/deriv/464952
Commander, J.A.H Beresford,http://hdl.handle.net/10462/deriv/464953
Lieutenant, W.S. MacTaggart,http://hdl.handle.net/10462/deriv/464954
Lieutenant, T.S. Ware,http://hdl.handle.net/10462/deriv/464955
Driver, C.J. Ware,http://hdl.handle.net/10462/deriv/464956
Trooper, Leslie G. Campbell,http://hdl.handle.net/10462/deriv/464897
,Wyndham D. Birkett,http://hdl.handle.net/10462/deriv/464898
Gunner, F.A.J. Carter,http://hdl.handle.net/10462/deriv/464899
Driver, Alex G. Clark,http://hdl.handle.net/10462/deriv/464900
Private, H.G. Ellis,http://hdl.handle.net/10462/deriv/464901
Midshipman, R.C. Spencer,http://hdl.handle.net/10462/deriv/464902
Lieutenant, Robert Alexander,http://hdl.handle.net/10462/deriv/464903
2nd Air-Mechanic, A.P. Ashby,http://hdl.handle.net/10462/deriv/464904
,Warwick Nixon Smith,http://hdl.handle.net/10462/deriv/464905
Signaller, E.H. Sanders,http://hdl.handle.net/10462/deriv/464906
Sergeant, A.V. Stark,http://hdl.handle.net/10462/deriv/464907
Private, C.H.H. McGuire,http://hdl.handle.net/10462/deriv/464908
Gunner, W.J. Phillips,http://hdl.handle.net/10462/deriv/464909
Private, A.E. Axon,http://hdl.handle.net/10462/deriv/464910
Corporal, G.E. Baynes,http://hdl.handle.net/10462/deriv/464911
,J.H. Campbell Kilroe,http://hdl.handle.net/10462/deriv/464912
Private, A. Muller,http://hdl.handle.net/10462/deriv/464913
Private, J.L. Rawlings,http://hdl.handle.net/10462/deriv/464914
Sapper, L. Goddard,http://hdl.handle.net/10462/deriv/464915
Brigadier-General, H.A. Goddard,http://hdl.handle.net/10462/deriv/464916
Gunner, N.S. Wickham,http://hdl.handle.net/10462/deriv/464917
Private, Ralph Paul,http://hdl.handle.net/10462/deriv/464918
Sapper, Jack Fisher,http://hdl.handle.net/10462/deriv/464919
Sapper, Norman Fisher,http://hdl.handle.net/10462/deriv/464920
Rifleman, C.D. Sperling,http://hdl.handle.net/10462/deriv/464921
Private, Alexander Stewart Billington,http://hdl.handle.net/10462/deriv/464922
Private, Norman Stewart Billington,http://hdl.handle.net/10462/deriv/464923
Lieutenant, Richard Stewart Billington,http://hdl.handle.net/10462/deriv/464924
,Martyn Broderick,http://hdl.handle.net/10462/deriv/464925
Lieutenant, F.H. Burcher,http://hdl.handle.net/10462/deriv/464926
,Victor L. Meise,http://hdl.handle.net/10462/deriv/464927
Gunner, P. Ivor Wright,http://hdl.handle.net/10462/deriv/464928
Trooper, R.H. Deakin,http://hdl.handle.net/10462/deriv/464929
Captain, H.E. Field,http://hdl.handle.net/10462/deriv/464930
Gunner, E.J. Coghlan,http://hdl.handle.net/10462/deriv/464931
Corporal,Lance- M.V. Campbell,http://hdl.handle.net/10462/deriv/464932
Captain, Tom Robin Jack,http://hdl.handle.net/10462/deriv/464933
Lieutenant,-General Harry Chauvel,http://hdl.handle.net/10462/deriv/464934
Driver, Graham T. Stephens,http://hdl.handle.net/10462/deriv/464957
Sergeant, Selby B. Russell,http://hdl.handle.net/10462/deriv/482874
,L.V. Nicol,http://hdl.handle.net/10462/deriv/464881
Sergeant,QM  W.G. Butcher,http://hdl.handle.net/10462/deriv/464882
Colonel,- H. Bailey,http://hdl.handle.net/10462/deriv/464883
Sergeant, H.W. Bailey,http://hdl.handle.net/10462/deriv/464884
,Geo. McDonald,http://hdl.handle.net/10462/deriv/464935
,R.N. McDonald,http://hdl.handle.net/10462/deriv/464936
,Alan E. Porter,http://hdl.handle.net/10462/deriv/464937
Sergeant, H.E. Field,http://hdl.handle.net/10462/deriv/464938
Sergeant, A.V. Richardson,http://hdl.handle.net/10462/deriv/464939
Lieutenant, Chas. Stodart,http://hdl.handle.net/10462/deriv/464885
,C. Hay Batchelor,http://hdl.handle.net/10462/deriv/464886
Captain, T.V. Brown,http://hdl.handle.net/10462/deriv/464887
Captain, C.C. Campbell,http://hdl.handle.net/10462/deriv/464888
Driver, W.H.H. Carpenter,http://hdl.handle.net/10462/deriv/464980
Lieut., J.E. Herbert,http://hdl.handle.net/10462/deriv/464981
Sapper, H.H. Marshall,http://hdl.handle.net/10462/deriv/464982
Corporal, T.D. Watson,http://hdl.handle.net/10462/deriv/464983
Corporal,Lance  S. Cripps,http://hdl.handle.net/10462/deriv/464984
,H.P. Leslie,http://hdl.handle.net/10462/deriv/464985
Lieut.,-Col. J.H. Cannan,http://hdl.handle.net/10462/deriv/464986
Major, Hubert R. Carter,http://hdl.handle.net/10462/deriv/464987
Private, F.M. Coxon,http://hdl.handle.net/10462/deriv/464988
Captain, L.A. Jones,http://hdl.handle.net/10462/deriv/464989
Lieut.,-Col. R.M. Stodart,http://hdl.handle.net/10462/deriv/464990
Private, W.A. Appleby,http://hdl.handle.net/10462/deriv/464991
Private, R.H. Burslem,http://hdl.handle.net/10462/deriv/464992
